topic_i,topic_j,phi,label_cosine,divergence
Fauna and Flora_General,Inspections,0.3157894736842105,0.0,0.5909090909090908
Inspections,Multiyear strategic workplan,0.3157894736842105,0.0,0.5909090909090908
Inspections,Site Guidelines for Visitors,0.3157894736842105,0.0,0.5909090909090908
International Polar Year,Waste management and disposal,0.5,0.004663616627494219,0.5853535353535354
Biological Prospecting,Management Plans,0.3125,0.0,0.5772727272727272
International Polar Year,Management Plans,0.3125,0.0,0.5772727272727272
Management Plans,Mineral resources,0.3125,0.0,0.5772727272727272
Climate Change,Specially Protected Species,0.3125,0.0,0.5772727272727272
Management Plans,Operation of the CEP,0.3125,0.0,0.5772727272727272
Management Plans,Site Guidelines for Visitors,0.3125,0.0,0.5772727272727272
Area Protection and Management Plans General,Climate Change,0.3125,0.0,0.5772727272727272
Site Guidelines for Visitors,Tourism and NG_Activities,0.5,0.005369002303710051,0.5712121212121213
Environmental Impact Assessment EIA Other EIA Matters,Safety and Operations in Antarctica,0.45454545454545453,0.004868919057593078,0.5616161616161616
Educational issues,Environmental Impact Assessment EIA Other EIA Matters,0.4230769230769231,0.004035973674800556,0.5580808080808081
Drilling,Waste management and disposal,0.3076923076923077,0.0,0.555050505050505
Educational issues,Management Plans,0.3076923076923077,0.0,0.555050505050505
Climate Change,Educational issues,0.3076923076923077,0.0,0.555050505050505
Operation of the CEP,Waste management and disposal,0.3076923076923077,0.0,0.555050505050505
CEP Strategy Discussions,Historic Sites and Monuments,0.3076923076923077,0.0,0.555050505050505
Institutional and legal matters,Multiyear strategic workplan,0.3076923076923077,0.0,0.555050505050505
Drilling,Tourism and NG_Activities,0.3,0.0,0.5282828282828282
Drilling,Specially Protected Species,0.3,0.0,0.5282828282828282
Climate Change,Operation of the Antarctic Treaty system Reports,0.3,0.0,0.5282828282828282
Marine Acoustics,Tourism and NG_Activities,0.3,0.0,0.5282828282828282
Multiyear strategic workplan,Tourism and NG_Activities,0.3,0.0,0.5282828282828282
Marine Acoustics,Search and Rescue,0.3,0.0,0.5282828282828282
Environmental Monitoring and Reporting,Inspections,0.3,0.0,0.5282828282828282
Search and Rescue,Specially Protected Species,0.3,0.0,0.5282828282828282
Marine Acoustics,Specially Protected Species,0.3,0.0,0.5282828282828282
Prevention of marine pollution,Search and Rescue,0.3,0.0,0.5282828282828282
Operation of the CEP,Specially Protected Species,0.3,0.0,0.5282828282828282
Environmental Monitoring and Reporting,Specially Protected Species,0.3,0.0,0.5282828282828282
Operation of the CEP,Search and Rescue,0.3,0.0,0.5282828282828282
Environmental Impact Assessment EIA Other EIA Matters,Operational issues,0.4090909090909091,0.004732886494514629,0.5151515151515151
Emergency report and contingency planning,Liability,0.29411764705882354,0.0,0.5060606060606061
Human Footprint and wilderness values,Liability,0.29411764705882354,0.0,0.5060606060606061
Biological Prospecting,Liability,0.29411764705882354,0.0,0.5060606060606061
CEP Strategy Discussions,Liability,0.29411764705882354,0.0,0.5060606060606061
Comprehensive Environmental Evaluations,Liability,0.29411764705882354,0.0,0.5060606060606061
Liability,Tourism and NG_Activities,0.29411764705882354,0.0,0.5060606060606061
Institutional and legal matters,Liability,0.29411764705882354,0.0,0.5060606060606061
Drilling,Liability,0.29411764705882354,0.0,0.5060606060606061
Liability,Nonnative Species and Quarantine,0.29411764705882354,0.0,0.5060606060606061
Liability,Marine Acoustics,0.29411764705882354,0.0,0.5060606060606061
Institutional and legal matters,Science issues,0.2916666666666667,0.0,0.494949494949495
Biological Prospecting,Science issues,0.2916666666666667,0.0,0.494949494949495
Operation of the Antarctic Treaty system The Secretariat,Science issues,0.2916666666666667,0.0,0.494949494949495
Human Footprint and wilderness values,Marine Protected Areas,0.5454545454545454,0.009492189590940437,0.49242424242424243
Marine Acoustics,Multiyear strategic workplan,0.2857142857142857,0.0,0.48787878787878786
Biological Prospecting,Historic Sites and Monuments,0.2857142857142857,0.0,0.48787878787878786
Multiyear strategic workplan,Sub glacial Lakes,0.2857142857142857,0.0,0.48787878787878786
Drilling,Multiyear strategic workplan,0.2857142857142857,0.0,0.48787878787878786
Marine Acoustics,Sub glacial Lakes,0.2857142857142857,0.0,0.48787878787878786
Biological Prospecting,Site Guidelines for Visitors,0.2857142857142857,0.0,0.48787878787878786
Educational issues,Environmental Monitoring and Reporting,0.38461538461538464,0.0051451526764954405,0.4813131313131313
Climate Change,Environmental Protection General,0.28,0.0,0.4777777777777778
Environmental Protection General,Nonnative Species and Quarantine,0.28,0.0,0.4777777777777778
Environmental Impact Assessment EIA Other EIA Matters,Multiyear strategic workplan,0.2727272727272727,0.0,0.46060606060606063
Exchange of Information,Marine Protected Areas,0.2727272727272727,0.0,0.46060606060606063
Emergency report and contingency planning,Site Guidelines for Visitors,0.2727272727272727,0.0,0.46060606060606063
Emergency report and contingency planning,Specially Protected Species,0.2727272727272727,0.0,0.46060606060606063
Environmental Impact Assessment EIA Other EIA Matters,Exchange of Information,0.45454545454545453,0.009589736762269803,0.45858585858585854
Historic Sites and Monuments,Marine living resources,0.38461538461538464,0.006615362877420712,0.44494949494949493
Biological Prospecting,International Polar Year,0.35714285714285715,0.004655822412567031,0.44040404040404046
CEP Strategy Discussions,Environmental Protection General,0.36,0.004738772473511761,0.44040404040404035
Cooperation with Other Organisations,Fauna and Flora_General,0.375,0.006138221717415273,0.43939393939393945
Comprehensive Environmental Evaluations,Marine living resources,0.26666666666666666,0.0,0.4378787878787879
Comprehensive Environmental Evaluations,Search and Rescue,0.26666666666666666,0.0,0.4378787878787879
CEP Strategy Discussions,Repair and remediation of environmental damage,0.3333333333333333,0.0036092301849899055,0.43131313131313126
Historic Sites and Monuments,Mineral resources,0.38461538461538464,0.007486326629193654,0.42676767676767674
Climate Change,Operational issues,0.2631578947368421,0.0,0.42424242424242425
Operational issues,Search and Rescue,0.2631578947368421,0.0,0.42424242424242425
Climate Change,Inspections,0.2631578947368421,0.0,0.42424242424242425
Marine Protected Areas,Operational issues,0.2631578947368421,0.0,0.42424242424242425
Liability,Operational issues,0.2631578947368421,0.0,0.42424242424242425
Inspections,Search and Rescue,0.2631578947368421,0.0,0.42424242424242425
Drilling,Inspections,0.2631578947368421,0.0,0.42424242424242425
Operational issues,Waste management and disposal,0.3684210526315789,0.006605033006857322,0.4212121212121212
Marine Acoustics,Operation of the CEP,0.25,0.0,0.3924242424242424
Climate Change,Nonnative Species and Quarantine,0.25,0.0,0.3924242424242424
Management Plans,Operation of the Antarctic Treaty system Reports,0.25,0.0,0.3924242424242424
Management Plans,Search and Rescue,0.25,0.0,0.3924242424242424
CEP Strategy Discussions,Environmental Monitoring and Reporting,0.25,0.0,0.3924242424242424
Climate Change,Historic Sites and Monuments,0.25,0.0,0.3924242424242424
Climate Change,Environmental Monitoring and Reporting,0.25,0.0,0.3924242424242424
Environmental Domains Analysis,Operation of the CEP,0.25,0.0,0.3924242424242424
Fauna and Flora_General,Marine Protected Areas,0.25,0.0,0.3924242424242424
Management Plans,Specially Protected Species,0.25,0.0,0.3924242424242424
Climate Change,Human Footprint and wilderness values,0.25,0.0,0.3924242424242424
CEP Strategy Discussions,Fauna and Flora_General,0.25,0.0,0.3924242424242424
Climate Change,Science issues,0.25,0.0,0.3924242424242424
Climate Change,Cooperation with Other Organisations,0.25,0.0,0.3924242424242424
CEP Strategy Discussions,Marine living resources,0.25,0.0,0.3924242424242424
CEP Strategy Discussions,Marine Protected Areas,0.25,0.0,0.3924242424242424
Drilling,Operation of the CEP,0.25,0.0,0.3924242424242424
Drilling,Mineral resources,0.25,0.0,0.3924242424242424
Climate Change,Marine Acoustics,0.25,0.0,0.3924242424242424
Fauna and Flora_General,Site Guidelines for Visitors,0.25,0.0,0.3924242424242424
Operation of the Antarctic Treaty system Reports,Site Guidelines for Visitors,0.25,0.0,0.3924242424242424
Fauna and Flora_General,Marine Acoustics,0.25,0.0,0.3924242424242424
Comprehensive Environmental Evaluations,Science issues,0.25,0.0,0.3924242424242424
Mineral resources,Multiyear strategic workplan,0.25,0.0,0.3924242424242424
Repair and remediation of environmental damage,Specially Protected Species,0.25,0.0,0.3924242424242424
CEP Strategy Discussions,Marine Acoustics,0.25,0.0,0.3924242424242424
Emergency report and contingency planning,Mineral resources,0.36363636363636365,0.007873313147802331,0.3843434343434343
Human Footprint and wilderness values,Prevention of marine pollution,0.36363636363636365,0.007899015046555007,0.3823232323232323
Human Footprint and wilderness values,Marine living resources,0.45454545454545453,0.014412394505642037,0.3787878787878788
Fauna and Flora_General,Operation of the Antarctic Treaty system Reports,0.4,0.010613115771710712,0.37777777777777777
Environmental Monitoring and Reporting,Operation of the Antarctic Treaty system General,0.4230769230769231,0.013113701417671354,0.37424242424242427
Historic Sites and Monuments,Operational issues,0.3684210526315789,0.008729119619708674,0.3727272727272727
CEP Strategy Discussions,Climate Change,0.4375,0.014404690611864007,0.3676767676767677
Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system General,0.4230769230769231,0.013507554379770314,0.36717171717171715
Exchange of Information,Nonnative Species and Quarantine,0.3181818181818182,0.005519891645415034,0.36717171717171715
Fauna and Flora_General,Opening statements,0.2413793103448276,0.0,0.3656565656565656
Management Plans,Safety and Operations in Antarctica,0.4117647058823529,0.012077200470264726,0.3651515151515151
Environmental Protection General,Marine living resources,0.24,0.0,0.3621212121212121
Environmental Protection General,Multiyear strategic workplan,0.24,0.0,0.3621212121212121
Biological Prospecting,Fauna and Flora_General,0.3125,0.004830007919684055,0.36212121212121207
Fauna and Flora_General,International Polar Year,0.3125,0.004983042773193563,0.35808080808080806
Marine living resources,Repair and remediation of environmental damage,0.4166666666666667,0.01313140311462343,0.3560606060606061
CEP Strategy Discussions,Institutional and legal matters,0.3076923076923077,0.004042656068801875,0.3560606060606061
Institutional and legal matters,Management Plans,0.375,0.010210385155739734,0.3545454545454546
Liability,Operation of the Antarctic Treaty system General,0.4230769230769231,0.014908346109740496,0.351010101010101
Liability,Specially Protected Species,0.23529411764705882,0.0,0.34747474747474744
Climate Change,Safety and Operations in Antarctica,0.23529411764705882,0.0,0.34747474747474744
Area Protection and Management Plans General,Liability,0.23529411764705882,0.0,0.34747474747474744
Climate Change,Liability,0.23529411764705882,0.0,0.34747474747474744
Liability,Search and Rescue,0.23529411764705882,0.0,0.34747474747474744
Marine Protected Areas,Safety and Operations in Antarctica,0.23529411764705882,0.0,0.34747474747474744
Historic Sites and Monuments,Liability,0.23529411764705882,0.0,0.34747474747474744
International Polar Year,Liability,0.23529411764705882,0.0,0.34747474747474744
Liability,Prevention of marine pollution,0.23529411764705882,0.0,0.34747474747474744
Cooperation with Other Organisations,Nonnative Species and Quarantine,0.3333333333333333,0.007568684720308729,0.34343434343434337
Marine Protected Areas,Site Guidelines for Visitors,0.36363636363636365,0.009721680677055646,0.34292929292929286
Multiyear strategic workplan,Operation of the CEP,0.375,0.011096388550419134,0.33838383838383845
Historic Sites and Monuments,Management Plans,0.5625,0.02476947221543785,0.33838383838383834
Nonnative Species and Quarantine,Operational issues,0.42105263157894735,0.015546931386217808,0.33585858585858586
Biological Prospecting,Operational issues,0.3157894736842105,0.006593994139178296,0.33535353535353535
Prevention of marine pollution,Site Guidelines for Visitors,0.3333333333333333,0.008089988217171447,0.3353535353535353
CEP Strategy Discussions,Environmental Domains Analysis,0.3333333333333333,0.008097894382801778,0.3343434343434343
Environmental Protection General,Opening statements,0.4827586206896552,0.02391369020284307,0.3257575757575758
Comprehensive Environmental Evaluations,Historic Sites and Monuments,0.4,0.014369128280842944,0.3212121212121213
Historic Sites and Monuments,Specially Protected Species,0.3076923076923077,0.005563425529020068,0.3207070707070707
Biological Prospecting,Educational issues,0.3076923076923077,0.005623035073492083,0.31868686868686874
Historic Sites and Monuments,Marine Protected Areas,0.23076923076923078,0.0,0.31767676767676767
Area Protection and Management Plans General,Site Guidelines for Visitors,0.23076923076923078,0.0,0.31767676767676767
Educational issues,Liability,0.23076923076923078,0.0,0.31767676767676767
Management Plans,Operation of the Antarctic Treaty system General,0.23076923076923078,0.0,0.31767676767676767
Drilling,Historic Sites and Monuments,0.23076923076923078,0.0,0.31767676767676767
Historic Sites and Monuments,Operation of the CEP,0.23076923076923078,0.0,0.31767676767676767
Specially Protected Species,Waste management and disposal,0.23076923076923078,0.0,0.31767676767676767
Multiyear strategic workplan,Waste management and disposal,0.23076923076923078,0.0,0.31767676767676767
Area Protection and Management Plans General,Nonnative Species and Quarantine,0.5333333333333333,0.027087981845464643,0.3151515151515152
Inspections,Management Plans,0.42105263157894735,0.01849682395344698,0.31060606060606066
Educational issues,Fauna and Flora_General,0.3076923076923077,0.006018233043156315,0.3106060606060606
Inspections,Marine Protected Areas,0.42105263157894735,0.018531091829616028,0.30959595959595965
Comprehensive Environmental Evaluations,Institutional and legal matters,0.4,0.01617490049926945,0.30000000000000004
Human Footprint and wilderness values,Multiyear strategic workplan,0.36363636363636365,0.011946023198019677,0.2994949494949495
Biological Prospecting,Repair and remediation of environmental damage,0.2857142857142857,0.0037999979827608834,0.29393939393939394
Exchange of Information,Fauna and Flora_General,0.22727272727272727,0.0,0.29343434343434344
Exchange of Information,Mineral resources,0.22727272727272727,0.0,0.29343434343434344
Drilling,Environmental Impact Assessment EIA Other EIA Matters,0.22727272727272727,0.0,0.29343434343434344
Exchange of Information,Human Footprint and wilderness values,0.22727272727272727,0.0,0.29343434343434344
Environmental Impact Assessment EIA Other EIA Matters,Search and Rescue,0.22727272727272727,0.0,0.29343434343434344
Environmental Impact Assessment EIA Other EIA Matters,Nonnative Species and Quarantine,0.22727272727272727,0.0,0.29343434343434344
CEP Strategy Discussions,Environmental Impact Assessment EIA Other EIA Matters,0.22727272727272727,0.0,0.29343434343434344
Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system The Secretariat,0.36363636363636365,0.012238369061862495,0.2934343434343434
Mineral resources,Repair and remediation of environmental damage,0.4166666666666667,0.0196221577962115,0.29242424242424236
Environmental Domains Analysis,Site Guidelines for Visitors,0.2222222222222222,0.0,0.2823232323232323
Multiyear strategic workplan,Site Guidelines for Visitors,0.2222222222222222,0.0,0.2823232323232323
CEP Strategy Discussions,State of the Antarctic Environment Report SAER,0.4166666666666667,0.02191657357778591,0.2813131313131313
Fauna and Flora_General,Nonnative Species and Quarantine,0.5625,0.03159863431643515,0.28080808080808073
Inspections,Operation of the Antarctic Treaty system General,0.5,0.02992093884843533,0.27929292929292937
Marine Protected Areas,Mineral resources,0.36363636363636365,0.01341389263808359,0.27929292929292926
Comprehensive Environmental Evaluations,Waste management and disposal,0.4,0.01853372808620405,0.2787878787878788
Marine living resources,Specially Protected Species,0.3,0.0063475896220806915,0.2787878787878788
Environmental Protection General,Institutional and legal matters,0.44,0.027348057863262436,0.2772727272727272
Human Footprint and wilderness values,Repair and remediation of environmental damage,0.4166666666666667,0.02245132451997471,0.2772727272727272
Area Protection and Management Plans General,Marine living resources,0.3076923076923077,0.00778746299149188,0.2752525252525253
Biological Prospecting,Operation of the Antarctic Treaty system The Secretariat,0.29411764705882354,0.0055082024855904995,0.2737373737373737
Environmental Impact Assessment EIA Other EIA Matters,Fauna and Flora_General,0.2727272727272727,0.0034667727585090064,0.27171717171717175
International Polar Year,Specially Protected Species,0.21428571428571427,0.0,0.2712121212121212
Cooperation with Other Organisations,Search and Rescue,0.21428571428571427,0.0,0.2712121212121212
Historic Sites and Monuments,International Polar Year,0.21428571428571427,0.0,0.2712121212121212
International Polar Year,Marine Acoustics,0.21428571428571427,0.0,0.2712121212121212
Biological Prospecting,Cooperation with Other Organisations,0.21428571428571427,0.0,0.2712121212121212
Multiyear strategic workplan,State of the Antarctic Environment Report SAER,0.42857142857142855,0.027525268116271553,0.26717171717171717
Operation of the Antarctic Treaty system The Secretariat,Waste management and disposal,0.35294117647058826,0.012992514291583783,0.26717171717171717
Environmental Impact Assessment EIA Other EIA Matters,Operation of the Antarctic Treaty system Reports,0.3181818181818182,0.01027176172279112,0.26515151515151514
Emergency report and contingency planning,Inspections,0.21052631578947367,0.0,0.2590909090909091
Drilling,Operational issues,0.21052631578947367,0.0,0.2590909090909091
Mineral resources,Specially Protected Species,0.3,0.007183298951168611,0.2585858585858586
Marine living resources,Waste management and disposal,0.3076923076923077,0.008501897916003144,0.25808080808080813
Historic Sites and Monuments,Multiyear strategic workplan,0.3076923076923077,0.008586371406125363,0.2550505050505051
Operation of the Antarctic Treaty system General,Waste management and disposal,0.38461538461538464,0.019817704332684684,0.25505050505050497
Inspections,Science issues,0.20833333333333334,0.0,0.25303030303030305
Science issues,Waste management and disposal,0.20833333333333334,0.0,0.25303030303030305
Human Footprint and wilderness values,Specially Protected Species,0.2727272727272727,0.004623169669515669,0.2515151515151515
Nonnative Species and Quarantine,Opening statements,0.20689655172413793,0.0,0.25
Institutional and legal matters,Opening statements,0.20689655172413793,0.0,0.25
Inspections,Tourism and NG_Activities,0.3157894736842105,0.010732529144309355,0.2464646464646465
Marine Protected Areas,Waste management and disposal,0.3076923076923077,0.009052268780394425,0.245959595959596
Inspections,Repair and remediation of environmental damage,0.3684210526315789,0.01762036007927876,0.24343434343434345
Comprehensive Environmental Evaluations,Management Plans,0.4375,0.030535714894797915,0.2404040404040404
Emergency report and contingency planning,Institutional and legal matters,0.38461538461538464,0.02355270413449793,0.2378787878787878
Emergency report and contingency planning,Safety and Operations in Antarctica,0.4117647058823529,0.027968214263086662,0.23383838383838373
Comprehensive Environmental Evaluations,Exchange of Information,0.4090909090909091,0.027577176299428217,0.23333333333333328
Prevention of marine pollution,Tourism and NG_Activities,0.2,0.0,0.22878787878787876
Operation of the CEP,Tourism and NG_Activities,0.2,0.0,0.22878787878787876
Drilling,Search and Rescue,0.2,0.0,0.22878787878787876
CEP Strategy Discussions,Nonnative Species and Quarantine,0.2,0.0,0.22878787878787876
Comprehensive Environmental Evaluations,Tourism and NG_Activities,0.2,0.0,0.22878787878787876
Multiyear strategic workplan,Specially Protected Species,0.2,0.0,0.22878787878787876
Environmental Protection General,Search and Rescue,0.2,0.0,0.22878787878787876
Search and Rescue,Site Guidelines for Visitors,0.2,0.0,0.22878787878787876
Comprehensive Environmental Evaluations,Drilling,0.2,0.0,0.22878787878787876
State of the Antarctic Environment Report SAER,Sub glacial Lakes,0.2,0.0,0.22878787878787876
Specially Protected Species,State of the Antarctic Environment Report SAER,0.2,0.0,0.22878787878787876
Multiyear strategic workplan,Nonnative Species and Quarantine,0.2,0.0,0.22878787878787876
Environmental Domains Analysis,Specially Protected Species,0.2,0.0,0.22878787878787876
Comprehensive Environmental Evaluations,Multiyear strategic workplan,0.2,0.0,0.22878787878787876
Comprehensive Environmental Evaluations,Mineral resources,0.26666666666666666,0.004633502805377182,0.2277777777777778
Human Footprint and wilderness values,Search and Rescue,0.45454545454545453,0.03442203011912351,0.22323232323232323
Inspections,Operational issues,0.42105263157894735,0.030575950729468206,0.22171717171717176
Human Footprint and wilderness values,Institutional and legal matters,0.38461538461538464,0.0251474632182735,0.22171717171717165
Nonnative Species and Quarantine,Operation of the Antarctic Treaty system Reports,0.35,0.0163090018174942,0.22070707070707074
Area Protection and Management Plans General,Human Footprint and wilderness values,0.5384615384615384,0.04106162236891907,0.21313131313131317
Human Footprint and wilderness values,Mineral resources,0.2727272727272727,0.006221087714329812,0.21212121212121215
Marine living resources,Site Guidelines for Visitors,0.3333333333333333,0.015321054956033265,0.21212121212121204
Environmental Protection General,Exchange of Information,0.52,0.04103482555904754,0.21060606060606057
Management Plans,Marine living resources,0.3125,0.011987767968745499,0.21060606060606057
Human Footprint and wilderness values,Operation of the Antarctic Treaty system Reports,0.25,0.0031396805688250384,0.20757575757575758
Environmental Impact Assessment EIA Other EIA Matters,Opening statements,0.3793103448275862,0.026286564800303516,0.20656565656565662
Human Footprint and wilderness values,Management Plans,0.375,0.025550941714419836,0.20303030303030312
Opening statements,Operation of the Antarctic Treaty system General,0.5517241379310345,0.04342967989877917,0.203030303030303
Drilling,Operation of the Antarctic Treaty system General,0.19230769230769232,0.0,0.203030303030303
Marine living resources,Operation of the Antarctic Treaty system General,0.19230769230769232,0.0,0.203030303030303
Nonnative Species and Quarantine,Waste management and disposal,0.4,0.029573078761632392,0.202020202020202
Exchange of Information,Inspections,0.5,0.041180380428781665,0.20151515151515154
Environmental Protection General,Tourism and NG_Activities,0.28,0.007535973107180732,0.20101010101010103
Inspections,Operation of the Antarctic Treaty system The Secretariat,0.3684210526315789,0.02491293329611045,0.20101010101010097
Management Plans,Marine Protected Areas,0.3125,0.012763796837154005,0.1994949494949494
Fauna and Flora_General,Operation of the Antarctic Treaty system The Secretariat,0.29411764705882354,0.009023112726948163,0.198989898989899
Emergency report and contingency planning,Tourism and NG_Activities,0.36363636363636365,0.02398328733129495,0.19747474747474747
Educational issues,Exchange of Information,0.5,0.04193806675449801,0.19646464646464645
Comprehensive Environmental Evaluations,Fauna and Flora_General,0.25,0.003957404012295479,0.19646464646464645
Educational issues,Environmental Protection General,0.38461538461538464,0.028833627987247444,0.1934343434343434
Emergency report and contingency planning,Environmental Protection General,0.32,0.01566449929157914,0.19191919191919193
Environmental Monitoring and Reporting,International Polar Year,0.25,0.0042601400905774465,0.1904040404040404
Specially Protected Species,Tourism and NG_Activities,0.4,0.030966864883522238,0.1898989898989899
Mineral resources,Site Guidelines for Visitors,0.3333333333333333,0.017338190486295958,0.1898989898989899
Climate Change,Marine Protected Areas,0.1875,0.0,0.18737373737373736
Climate Change,Management Plans,0.1875,0.0,0.18737373737373736
Climate Change,Comprehensive Environmental Evaluations,0.1875,0.0,0.18737373737373736
Climate Change,Environmental Domains Analysis,0.1875,0.0,0.18737373737373736
Fauna and Flora_General,Marine living resources,0.1875,0.0,0.18737373737373736
Management Plans,Tourism and NG_Activities,0.1875,0.0,0.18737373737373736
Climate Change,Search and Rescue,0.1875,0.0,0.18737373737373736
Climate Change,International Polar Year,0.1875,0.0,0.18737373737373736
Management Plans,Repair and remediation of environmental damage,0.625,0.04816634220235145,0.18484848484848482
Institutional and legal matters,Tourism and NG_Activities,0.38461538461538464,0.029945731154247403,0.18333333333333335
Historic Sites and Monuments,Institutional and legal matters,0.38461538461538464,0.030261930419978024,0.18232323232323233
Comprehensive Environmental Evaluations,Operation of the Antarctic Treaty system The Secretariat,0.35294117647058826,0.024136813196774208,0.17828282828282827
Exchange of Information,Operational issues,0.5454545454545454,0.049179733502158,0.17222222222222217
Educational issues,Nonnative Species and Quarantine,0.3076923076923077,0.013257661233040084,0.17020202020202024
Area Protection and Management Plans General,Historic Sites and Monuments,0.46153846153846156,0.045529285916864864,0.17020202020202013
Historic Sites and Monuments,Nonnative Species and Quarantine,0.4,0.03398917743108858,0.16969696969696968
Environmental Domains Analysis,Sub glacial Lakes,0.25,0.005233541740359836,0.16919191919191917
Drilling,Marine Protected Areas,0.18181818181818182,0.0,0.16767676767676765
Marine Protected Areas,Operation of the CEP,0.18181818181818182,0.0,0.16767676767676765
Exchange of Information,Marine living resources,0.18181818181818182,0.0,0.16767676767676765
