member,period_end,from_topic,to_topic,distance
France,1968,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
France,1968,Opening statements,Operation of the Antarctic Treaty system Reports,0.7586206896551724
France,1968,Opening statements,Operational issues,0.6551724137931034
South Africa,1968,Operation of the Antarctic Treaty system General,Tourism and NG_Activities,0.8846153846153846
United Kingdom,1968,Operational issues,Historic Sites and Monuments,0.631578947368421
Argentina,1969,Opening statements,Environmental Protection General,0.5172413793103448
Australia,1969,Operation of the Antarctic Treaty system General,Exchange of Information,0.5384615384615384
Belgium,1969,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
New Zealand,1969,Exchange of Information,Environmental Protection General,0.48
Russian Federation,1969,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
United Kingdom,1969,Cooperation with Other Organisations,Fauna and Flora_General,0.625
United Kingdom,1969,Historic Sites and Monuments,Management Plans,0.4375
Argentina,1970,Opening statements,Science issues,0.5517241379310345
Australia,1970,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Chile,1970,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
France,1970,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Japan,1970,Operational issues,Historic Sites and Monuments,0.631578947368421
Japan,1970,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Japan,1970,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
New Zealand,1970,Exchange of Information,Science issues,0.5833333333333333
Russian Federation,1970,Opening statements,Science issues,0.5517241379310345
United Kingdom,1970,Management Plans,Area Protection and Management Plans General,0.4375
United Kingdom,1970,Marine Protected Areas,Human Footprint and wilderness values,0.4545454545454546
United Kingdom,1970,Environmental Protection General,Institutional and legal matters,0.56
United States,1970,Marine Protected Areas,Human Footprint and wilderness values,0.4545454545454546
Chile,1971,Opening statements,Environmental Protection General,0.5172413793103448
New Zealand,1971,Specially Protected Species,Tourism and NG_Activities,0.6
United Kingdom,1971,Environmental Protection General,Exchange of Information,0.48
United Kingdom,1971,Area Protection and Management Plans General,Management Plans,0.4375
United Kingdom,1971,Marine Protected Areas,Tourism and NG_Activities,0.5454545454545454
United States,1971,Management Plans,Historic Sites and Monuments,0.4375
United States,1971,Exchange of Information,Operational issues,0.4545454545454546
Argentina,1972,Science issues,Environmental Protection General,0.6
Argentina,1972,Tourism and NG_Activities,Fauna and Flora_General,0.8125
Argentina,1972,Tourism and NG_Activities,Mineral resources,0.7
Argentina,1972,Science issues,Operational issues,0.6666666666666667
Australia,1972,Exchange of Information,Fauna and Flora_General,0.7727272727272727
Belgium,1972,Environmental Protection General,Exchange of Information,0.48
Belgium,1972,Environmental Protection General,Operational issues,0.56
Belgium,1972,Environmental Protection General,Tourism and NG_Activities,0.72
Chile,1972,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Chile,1972,Human Footprint and wilderness values,Tourism and NG_Activities,0.6363636363636364
France,1972,Operational issues,Mineral resources,0.6842105263157895
Japan,1972,Operation of the Antarctic Treaty system Reports,Operational issues,0.6
New Zealand,1972,Historic Sites and Monuments,Area Protection and Management Plans General,0.5384615384615384
New Zealand,1972,Historic Sites and Monuments,Fauna and Flora_General,0.8125
New Zealand,1972,Historic Sites and Monuments,Institutional and legal matters,0.6153846153846154
New Zealand,1972,Science issues,Opening statements,0.5517241379310345
New Zealand,1972,Historic Sites and Monuments,Operational issues,0.631578947368421
Norway,1972,Environmental Protection General,Fauna and Flora_General,0.72
Norway,1972,Environmental Protection General,Historic Sites and Monuments,0.72
Norway,1972,Environmental Protection General,Human Footprint and wilderness values,0.64
Norway,1972,Environmental Protection General,Tourism and NG_Activities,0.72
Russian Federation,1972,Operational issues,Historic Sites and Monuments,0.631578947368421
South Africa,1972,Tourism and NG_Activities,Area Protection and Management Plans General,0.7692307692307692
South Africa,1972,Tourism and NG_Activities,Fauna and Flora_General,0.8125
South Africa,1972,Tourism and NG_Activities,Human Footprint and wilderness values,0.6363636363636364
South Africa,1972,Tourism and NG_Activities,Mineral resources,0.7
United Kingdom,1972,Fauna and Flora_General,Cooperation with Other Organisations,0.625
United Kingdom,1972,Historic Sites and Monuments,Mineral resources,0.6153846153846154
United States,1972,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
United States,1972,Exchange of Information,Environmental Protection General,0.48
Australia,1973,Exchange of Information,Environmental Protection General,0.48
France,1973,Operational issues,Exchange of Information,0.4545454545454546
France,1973,Mineral resources,Tourism and NG_Activities,0.7
Japan,1973,Operational issues,Historic Sites and Monuments,0.631578947368421
New Zealand,1973,Opening statements,Environmental Protection General,0.5172413793103448
United States,1973,Human Footprint and wilderness values,Area Protection and Management Plans General,0.46153846153846156
Argentina,1975,Mineral resources,Marine living resources,0.33333333333333337
Argentina,1975,Science issues,Opening statements,0.5517241379310345
Argentina,1975,Science issues,Operational issues,0.6666666666666667
Australia,1975,Environmental Protection General,Marine living resources,0.76
Australia,1975,Exchange of Information,Opening statements,0.48275862068965514
Australia,1975,Environmental Protection General,Tourism and NG_Activities,0.72
Belgium,1975,Exchange of Information,Environmental Protection General,0.48
Belgium,1975,Exchange of Information,Opening statements,0.48275862068965514
Chile,1975,Area Protection and Management Plans General,Historic Sites and Monuments,0.5384615384615384
Chile,1975,Operational issues,Mineral resources,0.6842105263157895
Chile,1975,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
France,1975,Environmental Protection General,Fauna and Flora_General,0.72
France,1975,Exchange of Information,Opening statements,0.48275862068965514
Japan,1975,Historic Sites and Monuments,Area Protection and Management Plans General,0.5384615384615384
Japan,1975,Historic Sites and Monuments,Human Footprint and wilderness values,0.6923076923076923
Norway,1975,Human Footprint and wilderness values,Area Protection and Management Plans General,0.46153846153846156
Norway,1975,Environmental Protection General,Institutional and legal matters,0.56
Norway,1975,Historic Sites and Monuments,Management Plans,0.4375
Norway,1975,Human Footprint and wilderness values,Marine Protected Areas,0.4545454545454546
Norway,1975,Human Footprint and wilderness values,Marine living resources,0.5454545454545454
Norway,1975,Historic Sites and Monuments,Mineral resources,0.6153846153846154
Norway,1975,Environmental Protection General,Opening statements,0.5172413793103448
Norway,1975,Fauna and Flora_General,Operation of the Antarctic Treaty system Reports,0.6
Russian Federation,1975,Historic Sites and Monuments,Area Protection and Management Plans General,0.5384615384615384
Russian Federation,1975,Operational issues,Fauna and Flora_General,0.6842105263157895
Russian Federation,1975,Historic Sites and Monuments,Mineral resources,0.6153846153846154
Russian Federation,1975,Science issues,Opening statements,0.5517241379310345
SCAR,1975,Operational issues,Cooperation with Other Organisations,0.8421052631578947
South Africa,1975,Fauna and Flora_General,Operational issues,0.6842105263157895
United Kingdom,1975,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
United Kingdom,1975,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
United States,1975,Human Footprint and wilderness values,Marine Protected Areas,0.4545454545454546
United States,1975,Human Footprint and wilderness values,Marine living resources,0.5454545454545454
United States,1975,Human Footprint and wilderness values,Mineral resources,0.7272727272727273
United States,1975,Exchange of Information,Operational issues,0.4545454545454546
Argentina,1977,Operational issues,Exchange of Information,0.4545454545454546
Argentina,1977,Marine living resources,Prevention of marine pollution,0.7777777777777778
Chile,1977,Human Footprint and wilderness values,Area Protection and Management Plans General,0.46153846153846156
Chile,1977,Environmental Protection General,Cooperation with Other Organisations,0.84
Chile,1977,Human Footprint and wilderness values,Marine Protected Areas,0.4545454545454546
Chile,1977,Environmental Protection General,Operational issues,0.56
France,1977,Tourism and NG_Activities,Drilling,0.7
France,1977,Mineral resources,Marine living resources,0.33333333333333337
France,1977,Exchange of Information,Operational issues,0.4545454545454546
New Zealand,1977,Historic Sites and Monuments,Area Protection and Management Plans General,0.5384615384615384
New Zealand,1977,Historic Sites and Monuments,Comprehensive Environmental Evaluations,0.6
New Zealand,1977,Institutional and legal matters,Human Footprint and wilderness values,0.6153846153846154
Russian Federation,1977,Mineral resources,Marine living resources,0.33333333333333337
Russian Federation,1977,Historic Sites and Monuments,Operational issues,0.631578947368421
SCAR,1977,Operational issues,Environmental Protection General,0.56
South Africa,1977,Mineral resources,Marine living resources,0.33333333333333337
South Africa,1977,Operational issues,Opening statements,0.6551724137931034
United Kingdom,1977,Exchange of Information,Environmental Monitoring and Reporting,0.6363636363636364
United Kingdom,1977,Mineral resources,Marine living resources,0.33333333333333337
United Kingdom,1977,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
United Kingdom,1977,Exchange of Information,Science issues,0.5833333333333333
United States,1977,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Argentina,1979,Mineral resources,Marine living resources,0.33333333333333337
Chile,1979,Tourism and NG_Activities,Drilling,0.7
Chile,1979,Marine Protected Areas,Prevention of marine pollution,0.5454545454545454
Chile,1979,Operational issues,Science issues,0.6666666666666667
France,1979,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
New Zealand,1979,Environmental Protection General,Operational issues,0.56
New Zealand,1979,Opening statements,Science issues,0.5517241379310345
Poland,1979,Opening statements,Area Protection and Management Plans General,0.8620689655172413
Poland,1979,Opening statements,Management Plans,0.7241379310344828
Poland,1979,Opening statements,Mineral resources,0.8275862068965517
Poland,1979,Opening statements,Tourism and NG_Activities,0.9310344827586207
Russian Federation,1979,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
SCAR,1979,Environmental Protection General,Operational issues,0.56
United States,1979,Marine Protected Areas,Mineral resources,0.6363636363636364
United States,1979,Marine Protected Areas,Prevention of marine pollution,0.5454545454545454
United States,1979,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Argentina,1980,Marine living resources,Mineral resources,0.33333333333333337
Norway,1980,Marine Protected Areas,Marine living resources,0.6363636363636364
United Kingdom,1980,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
United Kingdom,1980,Operation of the Antarctic Treaty system General,Exchange of Information,0.5384615384615384
Argentina,1981,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Argentina,1981,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
Australia,1981,Opening statements,Exchange of Information,0.48275862068965514
Chile,1981,Operational issues,Exchange of Information,0.4545454545454546
Chile,1981,Science issues,Operation of the Antarctic Treaty system General,0.5769230769230769
New Zealand,1981,Operational issues,Exchange of Information,0.4545454545454546
New Zealand,1981,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Norway,1981,Opening statements,Exchange of Information,0.48275862068965514
United Kingdom,1981,Marine living resources,Mineral resources,0.33333333333333337
Argentina,1982,Prevention of marine pollution,Area Protection and Management Plans General,0.7692307692307692
Poland,1982,Management Plans,Mineral resources,0.6875
United Kingdom,1982,Environmental Protection General,Operational issues,0.56
United States,1982,Mineral resources,Marine living resources,0.33333333333333337
Argentina,1983,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
Australia,1983,Opening statements,Cooperation with Other Organisations,0.8620689655172413
Australia,1983,Opening statements,Environmental Monitoring and Reporting,0.5862068965517242
Australia,1983,Exchange of Information,Human Footprint and wilderness values,0.7727272727272727
Australia,1983,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Australia,1983,Exchange of Information,Operation of the Antarctic Treaty system Reports,0.7272727272727273
Australia,1983,Exchange of Information,Operational issues,0.4545454545454546
India,1983,Opening statements,Historic Sites and Monuments,0.7241379310344828
New Zealand,1983,Exchange of Information,Opening statements,0.48275862068965514
Russian Federation,1983,Operational issues,Opening statements,0.6551724137931034
SCAR,1983,Operational issues,Cooperation with Other Organisations,0.8421052631578947
United Kingdom,1983,Operational issues,Exchange of Information,0.4545454545454546
Argentina,1984,Area Protection and Management Plans General,Mineral resources,0.7692307692307692
Argentina,1984,Area Protection and Management Plans General,Tourism and NG_Activities,0.7692307692307692
Australia,1984,Human Footprint and wilderness values,Tourism and NG_Activities,0.6363636363636364
Chile,1984,Marine Protected Areas,Human Footprint and wilderness values,0.4545454545454546
New Zealand,1984,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
United Kingdom,1984,Environmental Protection General,Area Protection and Management Plans General,0.6799999999999999
United Kingdom,1984,Tourism and NG_Activities,Human Footprint and wilderness values,0.6363636363636364
United Kingdom,1984,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
United States,1984,Marine living resources,Area Protection and Management Plans General,0.6923076923076923
United States,1984,Science issues,Exchange of Information,0.5833333333333333
United States,1984,Science issues,Opening statements,0.5517241379310345
Argentina,1985,Operation of the Antarctic Treaty system Reports,Operational issues,0.6
Belgium,1985,Opening statements,Environmental Protection General,0.5172413793103448
Belgium,1985,Opening statements,Historic Sites and Monuments,0.7241379310344828
Belgium,1985,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Belgium,1985,Opening statements,Operational issues,0.6551724137931034
Brazil,1985,Operational issues,Operation of the Antarctic Treaty system General,0.6923076923076923
France,1985,Opening statements,Historic Sites and Monuments,0.7241379310344828
France,1985,Opening statements,Mineral resources,0.8275862068965517
Germany,1985,Exchange of Information,Tourism and NG_Activities,0.8181818181818181
New Zealand,1985,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
Norway,1985,Exchange of Information,Human Footprint and wilderness values,0.7727272727272727
Poland,1985,Opening statements,Historic Sites and Monuments,0.7241379310344828
South Africa,1985,Opening statements,Exchange of Information,0.48275862068965514
United Kingdom,1985,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
United Kingdom,1985,Science issues,Cooperation with Other Organisations,0.8333333333333334
United Kingdom,1985,Area Protection and Management Plans General,Management Plans,0.4375
United States,1985,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
United States,1985,Marine living resources,Tourism and NG_Activities,0.7
Argentina,1986,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
Belgium,1986,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
Chile,1986,Operational issues,Historic Sites and Monuments,0.631578947368421
Argentina,1987,Operational issues,Environmental Protection General,0.56
Argentina,1987,Operational issues,Operation of the Antarctic Treaty system The Secretariat,0.631578947368421
Argentina,1987,Operational issues,Science issues,0.6666666666666667
Argentina,1987,Human Footprint and wilderness values,Tourism and NG_Activities,0.6363636363636364
Australia,1987,Human Footprint and wilderness values,Area Protection and Management Plans General,0.46153846153846156
Australia,1987,Environmental Monitoring and Reporting,Comprehensive Environmental Evaluations,0.6
Australia,1987,Operation of the Antarctic Treaty system General,Inspections,0.5
Australia,1987,Operational issues,Operation of the Antarctic Treaty system The Secretariat,0.631578947368421
Belgium,1987,Environmental Protection General,Exchange of Information,0.48
Belgium,1987,Environmental Protection General,Operational issues,0.56
Brazil,1987,Operation of the Antarctic Treaty system General,Educational issues,0.5769230769230769
Brazil,1987,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Brazil,1987,Operational issues,Institutional and legal matters,0.736842105263158
Brazil,1987,Operational issues,Mineral resources,0.6842105263157895
Brazil,1987,Operational issues,Tourism and NG_Activities,0.7894736842105263
Chile,1987,Historic Sites and Monuments,Human Footprint and wilderness values,0.6923076923076923
Chile,1987,Operation of the Antarctic Treaty system General,Inspections,0.5
Chile,1987,Operation of the Antarctic Treaty system General,Marine Protected Areas,0.7307692307692308
Chile,1987,Historic Sites and Monuments,Tourism and NG_Activities,0.6923076923076923
China,1987,Historic Sites and Monuments,Operation of the Antarctic Treaty system General,0.8076923076923077
China,1987,Historic Sites and Monuments,Operation of the Antarctic Treaty system The Secretariat,0.7647058823529411
Finland,1987,Opening statements,Operation of the Antarctic Treaty system General,0.4482758620689655
Germany,1987,Tourism and NG_Activities,Operation of the Antarctic Treaty system General,0.8846153846153846
Germany,1987,Tourism and NG_Activities,Operational issues,0.7894736842105263
Germany,1987,Tourism and NG_Activities,Safety and Operations in Antarctica,0.8235294117647058
Germany,1987,Tourism and NG_Activities,Waste management and disposal,0.9230769230769231
India,1987,Historic Sites and Monuments,Operation of the Antarctic Treaty system General,0.8076923076923077
Netherlands,1987,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
New Zealand,1987,Comprehensive Environmental Evaluations,Drilling,0.8
New Zealand,1987,Comprehensive Environmental Evaluations,Environmental Protection General,0.64
New Zealand,1987,Comprehensive Environmental Evaluations,Historic Sites and Monuments,0.6
New Zealand,1987,Comprehensive Environmental Evaluations,Tourism and NG_Activities,0.8
Norway,1987,Exchange of Information,Comprehensive Environmental Evaluations,0.5909090909090908
Norway,1987,Exchange of Information,Operational issues,0.4545454545454546
Peru,1987,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Poland,1987,Historic Sites and Monuments,Operation of the Antarctic Treaty system General,0.8076923076923077
SCAR,1987,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
South Africa,1987,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
United Kingdom,1987,Science issues,Exchange of Information,0.5833333333333333
United Kingdom,1987,Area Protection and Management Plans General,Human Footprint and wilderness values,0.46153846153846156
United Kingdom,1987,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
United Kingdom,1987,Comprehensive Environmental Evaluations,Operation of the Antarctic Treaty system The Secretariat,0.6470588235294117
United Kingdom,1987,Management Plans,Operational issues,0.5789473684210527
United States,1987,Tourism and NG_Activities,Drilling,0.7
United States,1987,Exchange of Information,Environmental Protection General,0.48
United States,1987,Exchange of Information,Inspections,0.5
United States,1987,Exchange of Information,Science issues,0.5833333333333333
Australia,1988,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Australia,1989,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Australia,1989,Inspections,Waste management and disposal,0.5263157894736843
Brazil,1989,Environmental Protection General,Exchange of Information,0.48
Chile,1989,Operation of the Antarctic Treaty system General,Science issues,0.5769230769230769
Finland,1989,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
France,1989,Historic Sites and Monuments,Environmental Monitoring and Reporting,0.7
France,1989,Historic Sites and Monuments,Environmental Protection General,0.72
France,1989,Historic Sites and Monuments,Management Plans,0.4375
France,1989,Mineral resources,Operation of the Antarctic Treaty system Reports,0.85
France,1989,Historic Sites and Monuments,Science issues,0.875
France,1989,Historic Sites and Monuments,Tourism and NG_Activities,0.6923076923076923
France,1989,Historic Sites and Monuments,Waste management and disposal,0.6923076923076923
Germany,1989,Waste management and disposal,Area Protection and Management Plans General,0.6923076923076923
Germany,1989,Safety and Operations in Antarctica,Prevention of marine pollution,0.7647058823529411
Poland,1989,Historic Sites and Monuments,Operation of the Antarctic Treaty system General,0.8076923076923077
Russian Federation,1989,Operational issues,Exchange of Information,0.4545454545454546
South Africa,1989,Exchange of Information,Emergency report and contingency planning,0.7727272727272727
South Africa,1989,Exchange of Information,Environmental Protection General,0.48
Spain,1989,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Spain,1989,Operation of the Antarctic Treaty system General,Exchange of Information,0.5384615384615384
Spain,1989,Operation of the Antarctic Treaty system General,Safety and Operations in Antarctica,0.7692307692307692
Sweden,1989,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
United Kingdom,1989,Comprehensive Environmental Evaluations,Environmental Monitoring and Reporting,0.6
United Kingdom,1989,Human Footprint and wilderness values,Tourism and NG_Activities,0.6363636363636364
United States,1989,Human Footprint and wilderness values,Area Protection and Management Plans General,0.46153846153846156
United States,1989,Inspections,Historic Sites and Monuments,0.631578947368421
United States,1989,Human Footprint and wilderness values,Prevention of marine pollution,0.6363636363636364
United States,1989,Inspections,Waste management and disposal,0.5263157894736843
Uruguay,1989,Operation of the Antarctic Treaty system General,Operational issues,0.6923076923076923
Argentina,1990,Operational issues,Exchange of Information,0.4545454545454546
Norway,1990,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
United States,1990,Environmental Protection General,Operation of the Antarctic Treaty system General,0.5
Argentina,1991,Cooperation with Other Organisations,Operation of the Antarctic Treaty system Reports,0.44999999999999996
Argentina,1991,Exchange of Information,Operational issues,0.4545454545454546
Australia,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Australia,1991,Environmental Protection General,Operational issues,0.56
Belgium,1991,Exchange of Information,Operation of the Antarctic Treaty system General,0.5384615384615384
Brazil,1991,Educational issues,Operation of the Antarctic Treaty system Reports,0.6153846153846154
Chile,1991,Human Footprint and wilderness values,Area Protection and Management Plans General,0.46153846153846156
Chile,1991,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
China,1991,Operation of the Antarctic Treaty system The Secretariat,Institutional and legal matters,0.7647058823529411
China,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Ecuador,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Ecuador,1991,Operation of the Antarctic Treaty system General,Operation of the Antarctic Treaty system Reports,0.7692307692307692
Finland,1991,Environmental Monitoring and Reporting,Cooperation with Other Organisations,0.85
Finland,1991,Operation of the Antarctic Treaty system General,Exchange of Information,0.5384615384615384
Finland,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
France,1991,Environmental Protection General,Opening statements,0.5172413793103448
France,1991,Environmental Protection General,Operational issues,0.56
Germany,1991,Waste management and disposal,Environmental Monitoring and Reporting,0.65
Germany,1991,Safety and Operations in Antarctica,Institutional and legal matters,0.47058823529411764
Germany,1991,Waste management and disposal,Operation of the Antarctic Treaty system General,0.6153846153846154
Greece,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
India,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Italy,1991,Operation of the Antarctic Treaty system General,Area Protection and Management Plans General,0.8076923076923077
Italy,1991,Operation of the Antarctic Treaty system General,Cooperation with Other Organisations,0.8846153846153846
Italy,1991,Operation of the Antarctic Treaty system General,Exchange of Information,0.5384615384615384
Italy,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Italy,1991,Operation of the Antarctic Treaty system General,Tourism and NG_Activities,0.8846153846153846
Korea (ROK),1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Netherlands,1991,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Netherlands,1991,Operation of the Antarctic Treaty system General,Environmental Protection General,0.5
Netherlands,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
New Zealand,1991,Environmental Protection General,Institutional and legal matters,0.56
Norway,1991,Comprehensive Environmental Evaluations,Area Protection and Management Plans General,0.6666666666666667
Norway,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Peru,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Peru,1991,Exchange of Information,Operation of the Antarctic Treaty system Reports,0.7272727272727273
Poland,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Russian Federation,1991,Operational issues,Cooperation with Other Organisations,0.8421052631578947
Russian Federation,1991,Exchange of Information,Opening statements,0.48275862068965514
Russian Federation,1991,Operational issues,Safety and Operations in Antarctica,0.631578947368421
SCAR,1991,Operation of the Antarctic Treaty system Reports,Cooperation with Other Organisations,0.44999999999999996
South Africa,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Spain,1991,Environmental Monitoring and Reporting,Area Protection and Management Plans General,0.75
Spain,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Sweden,1991,Environmental Protection General,Cooperation with Other Organisations,0.84
Sweden,1991,Operation of the Antarctic Treaty system General,Inspections,0.5
Sweden,1991,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
United Kingdom,1991,Management Plans,Environmental Impact Assessment EIA Other EIA Matters,0.5454545454545454
United Kingdom,1991,Area Protection and Management Plans General,Inspections,0.5789473684210527
United States,1991,Environmental Protection General,Exchange of Information,0.48
United States,1991,Inspections,Operation of the Antarctic Treaty system The Secretariat,0.631578947368421
United States,1991,Prevention of marine pollution,Site Guidelines for Visitors,0.6666666666666667
Uruguay,1991,Operational issues,Institutional and legal matters,0.736842105263158
Uruguay,1991,Operational issues,Operation of the Antarctic Treaty system Reports,0.6
ASOC,1992,Environmental Protection General,Cooperation with Other Organisations,0.84
ASOC,1992,Environmental Protection General,Liability,0.52
ASOC,1992,Institutional and legal matters,Tourism and NG_Activities,0.6153846153846154
Argentina,1992,Science issues,Environmental Monitoring and Reporting,0.5416666666666667
Argentina,1992,Operational issues,Exchange of Information,0.4545454545454546
Argentina,1992,Operational issues,Historic Sites and Monuments,0.631578947368421
Argentina,1992,Science issues,Opening statements,0.5517241379310345
Australia,1992,Human Footprint and wilderness values,CEP Strategy Discussions,0.5833333333333333
Australia,1992,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Belgium,1992,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
Brazil,1992,Operation of the Antarctic Treaty system General,Opening statements,0.4482758620689655
CCAMLR,1992,Operation of the Antarctic Treaty system Reports,Marine living resources,0.8
COMNAP,1992,Operational issues,Cooperation with Other Organisations,0.8421052631578947
COMNAP,1992,Operational issues,Exchange of Information,0.4545454545454546
Chile,1992,Operational issues,Exchange of Information,0.4545454545454546
Chile,1992,Inspections,Liability,0.5789473684210527
Chile,1992,Inspections,Operation of the Antarctic Treaty system General,0.5
Chile,1992,Marine Protected Areas,Prevention of marine pollution,0.5454545454545454
Chile,1992,Operational issues,Safety and Operations in Antarctica,0.631578947368421
China,1992,Operation of the Antarctic Treaty system General,Environmental Monitoring and Reporting,0.5769230769230769
Finland,1992,Exchange of Information,Environmental Protection General,0.48
Finland,1992,Exchange of Information,Operational issues,0.4545454545454546
Germany,1992,Institutional and legal matters,Area Protection and Management Plans General,0.6153846153846154
