validation_id,outcome_id,audit_decision,auditor_primary,auditor_secondary,auditor_confidence,audit_rationale
OV145,Resolution 4 (1998),accept,Exchange of Information,,low,Antarctic data management is closest to information exchange and formatting.
OV146,Resolution 2 (1999),accept,Specially Protected Species,,high,A list of specially protected species is explicit.
OV147,Resolution 6 (1999),accept,Environmental Protection General,,high,General adherence to the Environment Protocol is explicit.
OV148,Resolution 2 (2001),accept,Cooperation with Other Organisations,Marine living resources,high,Supporting CCAMLR is primary and measures against illegal fishing are material.
OV149,Resolution 4 (2001),accept,Historic Sites and Monuments,,high,Historic Sites and Monuments is the explicit subject.
OV150,Resolution 5 (2001),accept,Historic Sites and Monuments,,high,Guidelines for historic remains fall squarely within the historic category.
OV151,Resolution 6 (2001),accept,INSUFFICIENT_TITLE,,high,Article references alone do not state the governed concern.
OV152,Resolution 3 (2002),accept,Cooperation with Other Organisations,,high,Support for CCAMLR is explicit inter-organizational cooperation.
OV153,Resolution 4 (2003),accept,Fauna and Flora_General,,high,Conservation of named bird taxa is explicit without special-species status.
OV154,Resolution 5 (2004),accept,Exchange of Information,,high,Improving exchange of information is explicit.
OV155,Resolution 6 (2005),accept,Site Guidelines for Visitors,,high,A post-visit site report form is expressly within visitor-site reporting.
OV156,Resolution 7 (2005),accept,Biological Prospecting,,high,Biological prospecting is explicit.
OV157,Resolution 5 (2007),accept,Tourism and NG_Activities,,high,Antarctic tourism is the explicit general subject.
OV158,Resolution 1 (2008),accept,Area Protection and Management Plans General,Historic Sites and Monuments,high,The proposal guide spans protected-area framework rules and historic sites.
OV159,Resolution 3 (2008),accept,Environmental Domains Analysis,,high,Environmental domains and a geographic framework are explicit.
OV160,Resolution 5 (2008),accept,Safety and Operations in Antarctica,Environmental Protection General,high,Safe navigation governs the charting initiative and environmental protection is material.
OV161,Resolution 6 (2008),accept,Search and Rescue,,high,Search-and-rescue coordination centres and regions are explicit.
OV162,Resolution 5 (2009),accept,Fauna and Flora_General,,high,Protection of a named bird species is explicit without special-species status.
OV163,Resolution 7 (2009),accept,Tourism and NG_Activities,,high,General principles of Antarctic tourism are explicit.
OV164,Resolution 2 (2010),accept,International Polar Year,,high,The title explicitly concerns an IPY contribution and legacy.
OV165,Resolution 7 (2010),accept,INSUFFICIENT_TITLE,,high,The passenger-vessel title is visibly truncated before its destination or purpose.
OV166,Resolution 2 (2011),accept,Area Protection and Management Plans General,,high,A general guide for preparing ASPA management plans is system-wide guidance.
OV167,Resolution 2 (2012),accept,Institutional and legal matters,,high,Exercise of jurisdiction is an explicit legal question.
OV168,Resolution 3 (2012),accept,INSUFFICIENT_TITLE,,medium,Generic cooperation in Antarctica does not identify an organization or substantive concern.
OV169,Resolution 3 (2013),accept,Site Guidelines for Visitors,,high,Site Guidelines for Visitors is explicit.
OV170,Resolution 6 (2013),accept,Biological Prospecting,,high,Biological prospecting is explicit.
OV171,Resolution 2 (2014),accept,Exchange of Information,Science issues,high,Environmental information exchange governs the title and scientific domains are material.
OV172,Resolution 3 (2015),accept,Exchange of Information,,medium,An Antarctic environments portal is an information dissemination mechanism.
OV173,Resolution 5 (2015),accept,Fauna and Flora_General,,high,Important Bird Areas explicitly concern fauna conservation.
OV174,Resolution 6 (2015),accept,Climate Change,,high,Antarctica's role in global climate processes is explicit.
OV175,Resolution 1 (2016),accept,Environmental Impact Assessment EIA Other EIA Matters,,high,Revised environmental impact assessment guidelines are explicit.
OV176,Resolution 2 (2016),accept,Site Guidelines for Visitors,,high,Site Guidelines for Visitors is explicit.
OV177,Resolution 4 (2016),accept,Nonnative Species and Quarantine,,high,A non-native species manual is explicit.
OV178,Resolution 5 (2016),accept,Area Protection and Management Plans General,Historic Sites and Monuments,high,The proposal guide spans protected-area framework rules and historic sites.
OV179,Resolution 3 (2017),accept,Environmental Domains Analysis,,high,Conservation biogeographic regions are a spatial environmental framework.
OV180,Resolution 4 (2017),revise,INSUFFICIENT_TITLE,,medium,Green Expedition is undefined and does not state a codable governing concern.
OV181,Resolution 5 (2017),accept,Marine Protected Areas,,high,Establishment of a named marine protected area is explicit.
OV182,Resolution 6 (2017),accept,Emergency report and contingency planning,Tourism and NG_Activities,high,Contingency planning governs the guidelines and tourist activities are material.
OV183,Resolution 1 (2018),accept,Site Guidelines for Visitors,,high,Site Guidelines for Visitors is explicit.
OV184,Resolution 4 (2018),accept,Environmental Protection General,Operational issues,high,Environmental rules govern RPAS operation and the operational domain is material.
OV185,Resolution 5 (2018),accept,Environmental Protection General,Science issues,high,Environmental conduct governs terrestrial scientific field research.
OV186,Resolution 2 (2019),accept,Site Guidelines for Visitors,,high,Site Guidelines for Visitors is explicit.
OV187,Resolution 3 (2019),accept,Site Guidelines for Visitors,,high,A checklist for assessing visitor site guidelines is explicit.
OV188,Resolution 4 (2019),accept,Fauna and Flora_General,Science issues,high,Animal use is the governing conservation concern and scientific purpose is material.
OV189,Resolution 6 (2019),accept,Operational issues,,medium,Hydrographic mapping is operational charting of Antarctic waters.
OV190,Resolution 7 (2019),accept,Cooperation with Other Organisations,Science issues,high,The title centres SCAR support for the Treaty System through scientific advice.
OV191,Resolution 1 (2021),accept,Environmental Protection General,Science issues,high,Environmental conduct governs geoscience field research.
OV192,Resolution 5 (2021),accept,Safety and Operations in Antarctica,,medium,COVID-19 in Antarctica most directly raises safe operational activity.
OV193,Resolution 6 (2021),accept,Safety and Operations in Antarctica,,high,Air safety in Antarctica is explicit.
OV194,Resolution 4 (2022),accept,Climate Change,,high,Antarctic climate change governs the synopsis and recommendations.
OV195,Resolution 2 (2023),accept,Climate Change,,high,Climate change is explicit in the declaration title.
OV196,Resolution 4 (2023),accept,Tourism and NG_Activities,,high,Tourist and non-governmental activities are the explicit subject.
OV197,Resolution 2 (2024),accept,Tourism and NG_Activities,,high,General visitor guidelines govern tourism rather than a particular visitor site.
OV198,Resolution 1 (2025),accept,Site Guidelines for Visitors,,high,Site Guidelines for Visitors is explicit.
OV199,Resolution 2 (2025),accept,Area Protection and Management Plans General,,high,Implementation guidance for the ASPA framework is system-wide area policy.
OV200,Resolution 4 (2025),accept,Tourism and NG_Activities,,high,General visitor guidelines govern tourism rather than a particular visitor site.
