validation_id,outcome_id,year,instrument,title,primary_a,secondary_a,confidence_a,rationale_a,primary_b,secondary_b,confidence_b,rationale_b,primary_c,secondary_c,confidence_c,rationale_c,n_distinct_primary,unanimous_primary,majority_primary,majority_count
OS011,Measure 4 (2014),2014,Measure,"Antarctic Specially Protected Area No 128 (Western shores of Admiralty Bay, King George Island, South Shetland Islands): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 128.,1,True,Management Plans,3
OS012,Measure 4 (2016),2016,Measure,"Antarctic Specially Protected Area ASPA No. 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 126.,1,True,Management Plans,3
OS013,Measure 3 (2022),2022,Measure,"Antarctic Specially Protected Area No 110 (Lynch Island, South Orkney Islands): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 110.,1,True,Management Plans,3
OS014,Measure 4 (2022),2022,Measure,"Antarctic Specially Protected Area No 111 (Southern Powell Island and adjacent islands, South Orkney Islands): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 111.,1,True,Management Plans,3
OS015,Measure 11 (2023),2023,Measure,"Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 147.,1,True,Management Plans,3
OS016,Measure 15 (2023),2023,Measure,"Antarctic Specially Protected Area No 168 (Mount Harding, Grove Mountains, East Antarctica): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 168.,1,True,Management Plans,3
OS017,Measure 4 (2023),2023,Measure,"Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 122.,1,True,Management Plans,3
OS018,Measure 1 (2024),2024,Measure,"Antarctic Specially Protected Area No 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 116.,1,True,Management Plans,3
OS019,Measure 6 (2024),2024,Measure,"Antarctic Specially Protected Area No 141 (Yukidori Valley, Langhovde, Lützow-Holm Bay): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 141.,1,True,Management Plans,3
OS020,Resolution 1 (2001),2001,Resolution,Decision on superseded recommendations,Operation of the Antarctic Treaty system General,,high,The title concerns the status of superseded Treaty recommendations.,Operation of the Antarctic Treaty system General,,high,The title concerns the status of superseded recommendations.,Operation of the Antarctic Treaty system General,,high,Title concerns the status of superseded Treaty recommendations.,1,True,Operation of the Antarctic Treaty system General,3
OS021,Resolution 1 (2004),2004,Resolution,ENHANCING PREVENTION OF MARINE POLLUTION BY FISHING ACTIVITIES,Prevention of marine pollution,Marine living resources,high,The title concerns preventing marine pollution caused by fishing activities.,Prevention of marine pollution,Marine living resources,high,The title concerns preventing marine pollution caused by fishing activities.,Prevention of marine pollution,,high,Title explicitly concerns preventing marine pollution from fishing.,1,True,Prevention of marine pollution,3
OS022,Resolution 4 (2004),2004,Resolution,"GUIDELINES ON CONTINGENCY PLANNING, INSURANCE AND OTHER MATTERS FOR TOURIST AND OTHER NON-GOVERNMENTAL ACTIVITIES IN THE ANTARCTIC TREATY AREA",Emergency report and contingency planning,Tourism and NG_Activities,high,The title concerns contingency planning for tourist and non-governmental activities.,Emergency report and contingency planning,Tourism and NG_Activities,high,The title concerns contingency planning for tourism and nongovernmental activities.,Emergency report and contingency planning,Tourism and NG_Activities,high,Title governs contingency planning for tourist and non-governmental activities.,1,True,Emergency report and contingency planning,3
OS023,Resolution 4 (2008),2008,Resolution,Checklist to assist in the inspection of Antarctic Specially Protected Areas and Antarctic Specially Managed Areas,Inspections,Area Protection and Management Plans General,high,The title is an inspection checklist specifically for ASPAs and ASMAs.,Inspections,Area Protection and Management Plans General,high,The title concerns an inspection checklist for ASPAs and ASMAs.,Inspections,Area Protection and Management Plans General,high,Title provides an inspection checklist specifically for ASPAs and ASMAs.,1,True,Inspections,3
OS024,Resolution 1 (2010),2010,Resolution,Site Guidelines for visitors,Site Guidelines for Visitors,,high,The title explicitly concerns site guidelines for visitors.,Site Guidelines for Visitors,,high,The title explicitly concerns visitor site guidelines.,Site Guidelines for Visitors,,high,Title explicitly concerns site guidelines for visitors.,1,True,Site Guidelines for Visitors,3
OS025,Resolution 3 (2010),2010,Resolution,"Revised Antarctic inspection Checklist ""A""",Inspections,,high,The title explicitly concerns a revised Antarctic inspection checklist.,Inspections,,high,The title explicitly concerns an Antarctic inspection checklist.,Inspections,,high,Title explicitly concerns an Antarctic inspection checklist.,1,True,Inspections,3
OS026,Resolution 5 (2010),2010,Resolution,Co-ordination among Antarctic Treaty Parties on Antarctic proposals under consideration in the IMO,Cooperation with Other Organisations,,high,The title concerns coordinating Antarctic proposals being considered by the IMO.,Cooperation with Other Organisations,,high,The title concerns coordinating Antarctic proposals under consideration by the IMO.,Cooperation with Other Organisations,,high,Title concerns coordination on Antarctic proposals before the IMO.,1,True,Cooperation with Other Organisations,3
OS027,Resolution 6 (2010),2010,Resolution,Improving the co-ordination of maritime search and rescue,Search and Rescue,,high,The title explicitly concerns coordination of maritime search and rescue.,Search and Rescue,,high,The title explicitly concerns coordination of maritime search and rescue.,Search and Rescue,,high,Title explicitly concerns coordination of maritime search and rescue.,1,True,Search and Rescue,3
OS028,Resolution 6 (2011),2011,Resolution,Non-native Species,Nonnative Species and Quarantine,,high,The title explicitly concerns non-native species.,Nonnative Species and Quarantine,,high,The title explicitly concerns non-native species.,Nonnative Species and Quarantine,,high,Title explicitly concerns non-native species.,1,True,Nonnative Species and Quarantine,3
OS029,Resolution 7 (2012),2012,Resolution,Vessel Safety in the Antarctic Treaty area.,Safety and Operations in Antarctica,,high,The title explicitly concerns vessel safety in the Treaty area.,Safety and Operations in Antarctica,,high,The title explicitly concerns vessel safety in Antarctica.,Safety and Operations in Antarctica,,high,Title explicitly concerns vessel safety in the Treaty area.,1,True,Safety and Operations in Antarctica,3
OS030,Resolution 8 (2012),2012,Resolution,"Improved Coordination of Maritime, Aeronautical and Land-Based Search and Rescue.",Search and Rescue,,high,The title explicitly concerns cross-domain search-and-rescue coordination.,Search and Rescue,,high,The title explicitly concerns coordination of search and rescue.,Search and Rescue,,high,Title explicitly concerns coordinated maritime aeronautical and land-based SAR.,1,True,Search and Rescue,3
OS031,Resolution 9 (2012),2012,Resolution,The Assessment of Land-Based Expeditionary Activities.,Tourism and NG_Activities,,medium,The title concerns assessment of land-based expeditionary activities.,Tourism and NG_Activities,,medium,The title concerns assessment of land-based expeditionary activities.,Tourism and NG_Activities,,medium,Title concerns assessment of land-based expeditionary activities.,1,True,Tourism and NG_Activities,3
OS032,Resolution 1 (2013),2013,Resolution,Air Safety in Antarctica,Safety and Operations in Antarctica,,high,The title explicitly concerns air safety in Antarctica.,Safety and Operations in Antarctica,,high,The title explicitly concerns air safety in Antarctica.,Safety and Operations in Antarctica,,high,Title explicitly concerns air safety in Antarctica.,1,True,Safety and Operations in Antarctica,3
OS033,Resolution 1 (2014),2014,Resolution,Fuel Storage and Handling,Operational issues,,medium,The title concerns operational storage and handling of fuel.,Operational issues,,medium,The title concerns operational fuel storage and handling.,Operational issues,,medium,Title concerns the operational handling and storage of fuel.,1,True,Operational issues,3
OS034,Resolution 3 (2014),2014,Resolution,Supporting the Polar Code,Safety and Operations in Antarctica,,medium,The title supports the safety-oriented Polar Code.,Cooperation with Other Organisations,,medium,The title supports an external polar regulatory code.,Institutional and legal matters,,medium,Title supports a named regulatory code without stating a narrower concern.,3,False,Cooperation with Other Organisations,1
OS035,Resolution 4 (2014),2014,Resolution,Site Guidelines for visitors,Site Guidelines for Visitors,,high,The title explicitly concerns site guidelines for visitors.,Site Guidelines for Visitors,,high,The title explicitly concerns visitor site guidelines.,Site Guidelines for Visitors,,high,Title explicitly concerns site guidelines for visitors.,1,True,Site Guidelines for Visitors,3
OS036,Resolution 5 (2014),2014,Resolution,Strengthening Cooperation in Hydrographic Surveying and Charting of Antarctic Waters,Operational issues,,high,The title concerns cooperation in hydrographic surveying and charting.,Operational issues,,high,The title concerns cooperation in hydrographic surveying and charting.,Operational issues,,high,Title concerns cooperation in hydrographic surveying and charting.,1,True,Operational issues,3
OS037,Resolution 6 (2014),2014,Resolution,Toward a Risk-based Assessment of Tourism and Non-Governmental Activities.,Tourism and NG_Activities,,high,The title explicitly concerns risk assessment for tourism and non-governmental activities.,Tourism and NG_Activities,,high,The title explicitly concerns risk assessment for tourism and nongovernmental activities.,Tourism and NG_Activities,,high,Title explicitly assesses risks from tourism and non-governmental activities.,1,True,Tourism and NG_Activities,3
OS038,Resolution 1 (2015),2015,Resolution,Cooperative Air Transport Systems.,Operational issues,,high,The title concerns cooperative air-transport systems without an explicit safety focus.,Operational issues,,high,The title concerns cooperative air transport systems.,Operational issues,,high,Title concerns cooperative air-transport systems.,1,True,Operational issues,3
OS039,Resolution 3 (2016),2016,Resolution,Code of Conduct for Activity within Terrestrial Geothermal Environments in Antarctica,Environmental Protection General,,medium,The title sets conduct rules for activity in terrestrial geothermal environments.,Environmental Protection General,,high,The title concerns conduct for activities in terrestrial geothermal environments.,Environmental Protection General,,medium,Title sets conduct for activity in a distinct Antarctic environment.,1,True,Environmental Protection General,3
OS040,Resolution 1 (2017),2017,Resolution,Guidance Material for Antarctic Specially Managed Area (ASMA) designations,Area Protection and Management Plans General,,high,The title gives system-wide guidance for ASMA designations.,Area Protection and Management Plans General,,high,The title concerns general guidance for ASMA designations.,Area Protection and Management Plans General,,high,Title provides general guidance for ASMA designations.,1,True,Area Protection and Management Plans General,3
OS041,Resolution 2 (2018),2018,Resolution,Guidelines for the assessment and management of Heritage in Antarctica,Historic Sites and Monuments,,high,The title concerns assessment and management guidelines for Antarctic heritage.,Historic Sites and Monuments,,high,The title concerns assessment and management of Antarctic heritage.,Historic Sites and Monuments,,high,Title concerns assessment and management of Antarctic heritage.,1,True,Historic Sites and Monuments,3
OS042,Resolution 1 (2019),2019,Resolution,Revised Antarctic Clean-Up Manual,Repair and remediation of environmental damage,,high,The title concerns a revised Antarctic clean-up manual.,Repair and remediation of environmental damage,,high,The title explicitly concerns an Antarctic clean-up manual.,Repair and remediation of environmental damage,,medium,Title explicitly concerns an Antarctic clean-up manual.,1,True,Repair and remediation of environmental damage,3
OS043,Resolution 5 (2019),2019,Resolution,Reducing Plastic Pollution in Antarctica and the Southern Ocean,Prevention of marine pollution,Waste management and disposal,high,The title concerns reducing plastic pollution in Antarctica and the Southern Ocean.,Prevention of marine pollution,,medium,The title concerns reducing plastic pollution including in the Southern Ocean.,Prevention of marine pollution,Waste management and disposal,high,Title concerns reducing plastic pollution including in the Southern Ocean.,1,True,Prevention of marine pollution,3
OS044,Resolution 2 (2021),2021,Resolution,"Revised Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments",Area Protection and Management Plans General,Historic Sites and Monuments,high,The title gives general proposal guidance spanning protected areas and historic sites.,Area Protection and Management Plans General,Historic Sites and Monuments,high,The title gives proposal guidance spanning protected areas and historic sites.,Area Protection and Management Plans General,Historic Sites and Monuments,high,Title gives proposal guidance spanning protected areas and historic sites.,1,True,Area Protection and Management Plans General,3
OS045,Resolution 6 (2022),2022,Resolution,Revised standard Post Visit Report Form,Site Guidelines for Visitors,,high,The title concerns a standard post-visit report form.,Site Guidelines for Visitors,,high,The title concerns the standard post-visit report form.,Site Guidelines for Visitors,,high,Title revises the standard post-visit reporting form.,1,True,Site Guidelines for Visitors,3
OS046,Resolution 1 (2024),2024,Resolution,Revised Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,The title gives general guidance for preparing ASPA management plans.,Area Protection and Management Plans General,,high,The title concerns general guidance for preparing ASPA management plans.,Area Protection and Management Plans General,,high,Title gives general guidance for preparing ASPA management plans.,1,True,Area Protection and Management Plans General,3
