validation_id,outcome_id,year,instrument,title,consensus_primary,consensus_secondary,consensus_confidence,consensus_source
OV081,Measure 14 (2014),2014,Measure,"Antarctic Specially Managed Area No 1 (Admiralty Bay, King George Island): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV082,Measure 9 (2014),2014,Measure,"Antarctic Specially Protected Area No 162 (Mawson's Huts, Cape Denison, Commonwealth Bay, George V Land, East Antarctica): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV083,Measure 1 (2015),2015,Measure,"Antarctic Specially Protected Area ASPA No. 101 (Taylor Rookery, Mac.Robertson Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV084,Measure 18 (2015),2015,Measure,"Antarctic Specially Managed Area ASMA No. 2 (McMurdo Dry Valleys, Southern Victoria Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV085,Measure 4 (2015),2015,Measure,"Antarctic Specially Protected Area ASPA No. 104 (Sabrina Island, Balleny Islands): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV086,Measure 1 (2016),2016,Measure,"Antarctic Specially Protected Area ASPA No. 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV087,Measure 2 (2016),2016,Measure,"Antarctic Specially Protected Area ASPA No. 120 (Pointe-Géologie Archipelago, Terre Adélie): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV088,Measure 4 (2017),2017,Measure,"Antarctic Specially Protected Area ASPA No. 115 (Lagotellerie Island, Marguerite Bay, Graham Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV089,Measure 1 (2018),2018,Measure,"Antarctic Specially Protected Area ASPA No. 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV090,Measure 4 (2018),2018,Measure,"Antarctic Specially Protected Area ASPA No. 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV091,Measure 5 (2018),2018,Measure,"Antarctic Specially Protected Area ASPA No. 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit
OV092,Measure 7 (2019),2019,Measure,"Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV093,Measure 17 (2021),2021,Measure,"Antarctic Specially Protected Area No 163 (Dakshin Gangotri Glacier, Dronning Maud Land): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV094,Measure 4 (2021),2021,Measure,"Antarctic Specially Protected Area No 103 (Ardery Island and Odbert Island, Budd Coast, Wilkes Land, East Antarctica): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV095,Measure 7 (2021),2021,Measure,"Antarctic Specially Protected Area No 106 (Cape Hallett, Northern Victoria Land, Ross Sea): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV096,Measure 1 (2022),2022,Measure,Antarctic Specially Managed Area No 7 (Southwest Anvers Island and Palmer Basin): Revised Management Plan,Management Plans,,high,three_coder_unanimous+independent_audit
OV097,Measure 12 (2022),2022,Measure,"Antarctic Specially Protected Area No 129 (Rothera Point, Adelaide Island): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV098,Measure 15 (2022),2022,Measure,"Antarctic Specially Protected Area No 140 (Parts of Deception Island, South Shetland Islands): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV099,Measure 18 (2022),2022,Measure,"Revised List of Antarctic Historic Sites and Monuments: Updating information for Historic Sites and Monuments No 26, 29, 36, 38, 39, 40, 41, 42, 43 and 93",Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV100,Measure 6 (2022),2022,Measure,"Antarctic Specially Protected Area No 115 (Lagotellerie Island, Marguerite Bay, Graham Land): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV101,Measure 8 (2023),2023,Measure,"Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV102,Measure 12 (2024),2024,Measure,"Antarctic Specially Protected Area No 171 (Narębski Point, Barton Peninsula, King George Island): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV103,Measure 4 (2024),2024,Measure,"Antarctic Specially Protected Area No 136 (Clark Peninsula, Budd Coast, Wilkes Land, East Antarctica): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV104,Measure 1 (2025),2025,Measure,"Antarctic Specially Protected Area No 162 (Mawson's Huts, Cape Denison, Commonwealth Bay, George V Land, East Antarctica): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit
OV105,Recommendation 3-3,1964,Recommendation,LOGISTICS,Operational issues,,high,three_coder_unanimous+independent_audit
OV106,Recommendation 4-16,1966,Recommendation,Specially Protected Species: Fur Seals,Specially Protected Species,,high,three_coder_unanimous+independent_audit
OV107,Recommendation 4-22,1966,Recommendation,Study of pelagic sealing,Marine living resources,,high,three_coder_unanimous+independent_audit
OV108,Recommendation 5-3,1968,Recommendation,Southern Ocean research,Science issues,,high,three_coder_unanimous+independent_audit
OV109,Recommendation 6-11,1970,Recommendation,NEW ISLANDS,OUTSIDE_TAXONOMY,,medium,adversarial_adjudication+independent_audit
OV110,Recommendation 6-12,1970,Recommendation,Information exchange on rocket launching,Exchange of Information,,high,three_coder_unanimous+independent_audit
OV111,Recommendation 7-3,1972,Recommendation,SITES OF SPECIAL SCIENTIFIC INTEREST,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV112,Recommendation 7-8,1972,Recommendation,CO-OPERATION IN TRANSPORT,Operational issues,,high,three_coder_unanimous+independent_audit
OV113,Recommendation 7-9,1972,Recommendation,HISTORIC MONUMENTS,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV114,Recommendation 8-3,1975,Recommendation,Sites of Special Scientific Interest,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV115,Recommendation 8-5,1975,Recommendation,Permits for Entry to Specially Protected Areas,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV116,Recommendation 8-7,1975,Recommendation,Co-operation in Transport,Operational issues,,high,three_coder_unanimous+independent_audit
OV117,Recommendation 9-4,1977,Recommendation,Co-operation in transport,Operational issues,,high,three_coder_unanimous+independent_audit
OV118,Recommendation 10-7,1979,Recommendation,Oil Contamination of the Antarctic Marine Environment,Prevention of marine pollution,,high,three_coder_unanimous+independent_audit
OV119,Recommendation 13-11,1985,Recommendation,Specially Protected Areas:,INSUFFICIENT_TITLE,,high,adversarial_adjudication+independent_audit
OV120,Recommendation 13-13,1985,Recommendation,"Specially Protected Area N° 7: Cape Hallett,",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV121,Recommendation 14-1,1987,Recommendation,Operation of the Antarctic Treaty System: public availability of the documents of Consultative Meetings.,Operation of the Antarctic Treaty system General,,high,three_coder_unanimous+independent_audit
OV122,Recommendation 14-2,1987,Recommendation,Human impact on the Antarctic environment: Environmental impact assessment.,Environmental Impact Assessment EIA Other EIA Matters,,high,three_coder_unanimous+independent_audit
OV123,Recommendation 14-4,1987,Recommendation,Facilitation of Scientific Research: Sites of Special Scientific Interest: Interim Guidelines: Extension of Designation.,Area Protection and Management Plans General,Science issues,high,adversarial_adjudication+independent_audit
OV124,Recommendation 14-5,1987,Recommendation,Facilitation of Scientific Research: Sites of Special,INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV125,Recommendation 14-6,1987,Recommendation,Marine sites of special scientific interest.,Area Protection and Management Plans General,,medium,three_coder_unanimous+independent_audit
OV126,Recommendation 14-9,1987,Recommendation,Air safety in Antarctica.,Safety and Operations in Antarctica,,high,three_coder_unanimous+independent_audit
OV127,Recommendation 15-19,1989,Recommendation,Cooperation in the hydrographic charting of Antarctic Waters,Operational issues,,medium,three_coder_unanimous+independent_audit
OV128,Recommendation 15-2,1989,Recommendation,Comprehensive measures for the protection of the Antarctic environment and dependent and associated ecosystems,Environmental Protection General,,high,three_coder_unanimous+independent_audit
OV129,Recommendation 15-22,1989,Recommendation,THE OPERATION OF THE ANTARCTIC TREATY SYSTEM: REPORTS (Agenda item 5),Operation of the Antarctic Treaty system Reports,,high,three_coder_unanimous+independent_audit
OV130,Recommendation 15-3,1989,Recommendation,Human impact on the Antarctic environment: Waste disposal,Waste management and disposal,,high,three_coder_unanimous+independent_audit
OV131,Recommendation 15-7,1989,Recommendation,"Antarctic Protected Area System: Redesignation of Specially Protected Area, n°11 Cape Shirreff, as Site of Special Scientific Interest No.32",Management Plans,,high,three_coder_unanimous+independent_audit
OV132,Recommendation 16-1,1991,Recommendation,EXCHANGE OF INFORMATION,Exchange of Information,,high,three_coder_unanimous+independent_audit
OV133,Recommendation 16-10,1991,Recommendation,ANTARCTIC PROTECTED AREA SYSTEM: REVIEW OF THE SYSTEM,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV134,Recommendation 16-5,1991,Recommendation,ANTARCTIC PROTECTED AREA SYSTEM,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV135,Recommendation 17-4,1992,Recommendation,GLOBAL CHANGE RESEARCH AND INTERNATIONAL COOPERATION IN ANTARCTICA,Climate Change,Science issues,medium,three_coder_unanimous+independent_audit
OV136,Resolution 2 (1995),1995,Resolution,Disposal of nuclear waste negotiations,Waste management and disposal,,high,three_coder_unanimous+independent_audit
OV137,Resolution 5 (1995),1995,Resolution,Inspection checklists,Inspections,,high,three_coder_unanimous+independent_audit
OV138,Resolution 8 (1995),1995,Resolution,Guidelines for proposing new Historic Sites and Monuments,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV139,Resolution 2 (1996),1996,Resolution,Educational and cultural activities,Educational issues,,high,three_coder_unanimous+independent_audit
OV140,Resolution 3 (1996),1996,Resolution,"Extension of expiry dates for SSSI 2 (Arrival Heights), 13 (Potter Peninsula), 20 (Biscoe Point), 23 (Svarthamaren), 24 (Mount Melbourne), 25 (Marine Plain), 26 (Chile Bay), 27 (Port Foster), 28 (South Bay), 29 (Ablation Point), 31 (Mount Flora) and 32 (Cape Shirreff)",Management Plans,,high,three_coder_unanimous+independent_audit
OV141,Resolution 5 (1996),1996,Resolution,Numbering system for ASPAs,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV142,Resolution 1 (1997),1997,Resolution,Contingency plans,Emergency report and contingency planning,,high,three_coder_unanimous+independent_audit
OV143,Resolution 1 (1998),1998,Resolution,Annex V. Protected Areas,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV144,Resolution 2 (1998),1998,Resolution,Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,three_coder_unanimous+independent_audit
OV145,Resolution 4 (1998),1998,Resolution,Antarctic Data Management,Exchange of Information,,low,adversarial_adjudication+independent_audit
OV146,Resolution 2 (1999),1999,Resolution,LIST OF SPECIALLY PROTECTED SPECIES: ANNEX II TO THE ENVIRONMENTAL PROTOCOL,Specially Protected Species,,high,three_coder_unanimous+independent_audit
OV147,Resolution 6 (1999),1999,Resolution,ADHERENCE TO THE ENVIRONMENTAL PROTOCOL BY NON-CONSULTATIVE PARTIES,Environmental Protection General,,high,three_coder_unanimous+independent_audit
OV148,Resolution 2 (2001),2001,Resolution,"Support for CCAMLR and its Measures to Combat Illegal, Unreported and Unregulated Fishing, Including a Catch Documentation Scheme for Dissostichus spp. (Toothfish)",Cooperation with Other Organisations,Marine living resources,high,three_coder_unanimous+independent_audit
OV149,Resolution 4 (2001),2001,Resolution,Historic Sites and Monuments,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV150,Resolution 5 (2001),2001,Resolution,Guidelines for handling of pre-1958 historic remains whose existence or present location is not known,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit
OV151,Resolution 6 (2001),2001,Resolution,Recalling Article III (1)a and Article VII(5) of the Antarctic Treaty;,INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit
OV152,Resolution 3 (2002),2002,Resolution,Support for CCAMLR,Cooperation with Other Organisations,,high,three_coder_unanimous+independent_audit
OV153,Resolution 4 (2003),2003,Resolution,Support for the Conservation of Albatrosses and Petrels,Fauna and Flora_General,,high,three_coder_unanimous+independent_audit
OV154,Resolution 5 (2004),2004,Resolution,ESTABLISHMENT OF AN INTERSESSIONAL CONTACT GROUP TO IMPROVE EXCHANGE OF INFORMATION,Exchange of Information,,high,three_coder_unanimous+independent_audit
OV155,Resolution 6 (2005),2005,Resolution,Antarctic Post Visit Site Report Form,Site Guidelines for Visitors,,high,three_coder_unanimous+independent_audit
OV156,Resolution 7 (2005),2005,Resolution,Biological Prospecting in Antarctica,Biological Prospecting,,high,three_coder_unanimous+independent_audit
OV157,Resolution 5 (2007),2007,Resolution,Tourism in the Antarctic Treaty Area,Tourism and NG_Activities,,high,three_coder_unanimous+independent_audit
OV158,Resolution 1 (2008),2008,Resolution,"Guide to the Presentation of Working Papers Containing Proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments",Area Protection and Management Plans General,Historic Sites and Monuments,high,three_coder_unanimous+independent_audit
OV159,Resolution 3 (2008),2008,Resolution,Environmental Domains Analysis for the Antarctic continent as a dynamic model for a systematic environmental geographic framework,Environmental Domains Analysis,,high,three_coder_unanimous+independent_audit
OV160,Resolution 5 (2008),2008,Resolution,Improving hydrographic surveying and charting to support safety of navigation and environmental protection in the Antarctic region,Safety and Operations in Antarctica,Environmental Protection General,high,three_coder_unanimous+independent_audit
OV161,Resolution 6 (2008),2008,Resolution,Enhancing the role of Maritime Rescue Coordination Centres with Search and Rescue Regions in the Antarctic Treaty Area,Search and Rescue,,high,three_coder_unanimous+independent_audit
OV162,Resolution 5 (2009),2009,Resolution,Protection of the Southern Giant Petrel,Fauna and Flora_General,,high,three_coder_unanimous+independent_audit
OV163,Resolution 7 (2009),2009,Resolution,General principles of Antarctic tourism,Tourism and NG_Activities,,high,three_coder_unanimous+independent_audit
OV164,Resolution 2 (2010),2010,Resolution,The contribution of the IPY to hydrographic knowledge,International Polar Year,,high,three_coder_unanimous+independent_audit
