validation_id,outcome_id,primary_concern,secondary_concern,confidence,rationale
OV038,"Decision 4 (2015)","Multiyear strategic workplan",,high,"Title explicitly names the multi-year ATCM work plan."
OV039,"Decision 2 (2017)","Operation of the Antarctic Treaty system General",,high,"Title concerns procedure for Consultative Party status."
OV040,"Decision 4 (2017)","Operation of the Antarctic Treaty system General",,high,"Title concerns appointment procedure for ATCM chairs."
OV041,"Decision 1 (2018)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title concerns Secretariat report programme and budget."
OV042,"Decision 1 (2019)","Historic Sites and Monuments",,high,"Title explicitly concerns the HSM list format."
OV043,"Decision 3 (2019)","Operation of the Antarctic Treaty system The Secretariat",,high,"Title concerns Secretariat report programme and budget."
OV044,"Decision 6 (2019)","Tourism and NG_Activities",,high,"Title explicitly governs tourism and non-governmental activities."
OV045,"Decision 1 (2021)","Historic Sites and Monuments",,high,"Title explicitly concerns the HSM list."
OV046,"Decision 5 (2021)","Multiyear strategic workplan",,high,"Title explicitly names the multi-year ATCM work plan."
OV047,"Decision 2 (2022)",Liability,,high,"Title explicitly concerns environmental-emergency liability."
OV048,"Decision 5 (2023)","Multiyear strategic workplan",,high,"Title explicitly names the multi-year ATCM work plan."
OV049,"Measure 1 (1997)","Management Plans",,high,"Title concerns a revised protected-area management plan."
OV050,"Measure 2 (1997)","Management Plans",,high,"Title explicitly concerns protected-area management plans."
OV051,"Measure 3 (1997)","Management Plans",,high,"Title concerns revised descriptions and management plans for SSSIs."
OV052,"Measure 5 (1997)","Historic Sites and Monuments",,high,"Title names an HSM amendment for Stone Hut."
OV053,"Measure 1 (1998)","Management Plans",,high,"Title explicitly concerns protected-area management plans."
OV054,"Measure 2 (1998)","Historic Sites and Monuments",,high,"Title names a historic site on Elephant Island."
OV055,"Measure 1 (2001)","Historic Sites and Monuments",,high,"Title explicitly concerns historic sites and monuments."
OV056,"Measure 2 (2001)","Historic Sites and Monuments",,high,"Title explicitly concerns historic sites and monuments."
OV057,"Measure 3 (2001)","Management Plans",,high,"Title extends expiry dates for individual protected sites."
OV058,"Measure 1 (2004)","Management Plans",,high,"Title concerns ASMA designations and management plans."
OV059,"Measure 1 (2006)","Management Plans",,high,"Title concerns ASPA designations and management plans."
OV060,"Measure 1 (2007)","Management Plans",,high,"Title explicitly concerns revised ASPA management plans."
OV061,"Measure 3 (2007)","Historic Sites and Monuments",,high,"Title names a Treaty monument."
OV062,"Measure 13 (2008)","Management Plans",,high,"Title revises the management plan for named ASPA 160."
OV063,"Measure 13 (2009)","Management Plans",,high,"Title designates named ASPA 171."
OV064,"Measure 14 (2009)","Historic Sites and Monuments",,high,"Title names Historic Sites 83 and 84."
OV065,"Measure 15 (2009)","Tourism and NG_Activities",,high,"Title concerns landing people from passenger vessels."
OV066,"Measure 16 (2009)","Environmental Protection General",,medium,"Title concerns an Environment Protocol annex without a narrower stated subject."
OV067,"Measure 11 (2010)","Management Plans",,high,"Title revises the management plan for named ASPA 159."
OV068,"Measure 15 (2010)","Historic Sites and Monuments",,high,"Title explicitly concerns an Antarctic historic plaque."
OV069,"Measure 2 (2010)","Management Plans",,high,"Title revises the management plan for named ASPA 102."
OV070,"Measure 4 (2010)",INSUFFICIENT_TITLE,,high,"Visible ASPA title is truncated before stating the action."
OV071,"Measure 6 (2010)",INSUFFICIENT_TITLE,,high,"Visible ASPA title is truncated before stating the action."
OV072,"Measure 3 (2011)","Management Plans",,high,"Title revises the management plan for named ASPA 122."
OV073,"Measure 1 (2012)",INSUFFICIENT_TITLE,,high,"Visible ASPA title ends at a colon without stating the action."
OV074,"Measure 11 (2012)",INSUFFICIENT_TITLE,,medium,"Visible historic-sites title ends at a colon and omits the action."
OV075,"Measure 1 (2013)","Management Plans",,high,"Title revises the management plan for named ASPA 108."
OV076,"Measure 13 (2013)","Management Plans",,high,"Title revises the management plan for named ASPA 156."
OV077,"Measure 15 (2013)","Management Plans",,high,"Title revises the management plan for named ASPA 161."
OV078,"Measure 4 (2013)","Management Plans",,high,"Title revises the management plan for named ASPA 132."
OV079,"Measure 6 (2013)","Management Plans",,high,"Title revises the management plan for named ASPA 135."
OV080,"Measure 9 (2013)","Management Plans",,high,"Title revises the management plan for named ASPA 143."
OV081,"Measure 14 (2014)","Management Plans",,high,"Title revises the management plan for named ASMA 1."
OV082,"Measure 9 (2014)","Management Plans",,high,"Title revises the management plan for named ASPA 162."
OV083,"Measure 1 (2015)","Management Plans",,high,"Title revises the management plan for named ASPA 101."
OV084,"Measure 18 (2015)","Management Plans",,high,"Title revises the management plan for named ASMA 2."
OV085,"Measure 4 (2015)","Management Plans",,high,"Title revises the management plan for named ASPA 104."
OV086,"Measure 1 (2016)","Management Plans",,high,"Title revises the management plan for named ASPA 116."
OV087,"Measure 2 (2016)","Management Plans",,high,"Title revises the management plan for named ASPA 120."
OV088,"Measure 4 (2017)","Management Plans",,high,"Title revises the management plan for named ASPA 115."
OV089,"Measure 1 (2018)","Management Plans",,high,"Title revises the management plan for named ASPA 108."
OV090,"Measure 4 (2018)","Management Plans",,high,"Title revises the management plan for named ASPA 147."
OV091,"Measure 5 (2018)","Management Plans",,high,"Title revises the management plan for named ASPA 170."
OV092,"Measure 7 (2019)","Management Plans",,high,"Title revises the management plan for named ASPA 161."
OV093,"Measure 17 (2021)","Management Plans",,high,"Title revises the management plan for named ASPA 163."
OV094,"Measure 4 (2021)","Management Plans",,high,"Title revises the management plan for named ASPA 103."
OV095,"Measure 7 (2021)","Management Plans",,high,"Title revises the management plan for named ASPA 106."
OV096,"Measure 1 (2022)","Management Plans",,high,"Title revises the management plan for named ASMA 7."
OV097,"Measure 12 (2022)","Management Plans",,high,"Title revises the management plan for named ASPA 129."
OV098,"Measure 15 (2022)","Management Plans",,high,"Title revises the management plan for named ASPA 140."
OV099,"Measure 18 (2022)","Historic Sites and Monuments",,high,"Title updates information for named HSM entries."
OV100,"Measure 6 (2022)","Management Plans",,high,"Title revises the management plan for named ASPA 115."
OV101,"Measure 8 (2023)","Management Plans",,high,"Title revises the management plan for named ASPA 138."
OV102,"Measure 12 (2024)","Management Plans",,high,"Title revises the management plan for named ASPA 171."
OV103,"Measure 4 (2024)","Management Plans",,high,"Title revises the management plan for named ASPA 136."
OV104,"Measure 1 (2025)","Management Plans",,high,"Title revises the management plan for named ASPA 162."
OV105,"Recommendation 3-3","Operational issues",,high,"Title explicitly concerns logistics."
OV106,"Recommendation 4-16","Specially Protected Species",,high,"Title explicitly names specially protected fur seals."
OV107,"Recommendation 4-22","Marine living resources",,high,"Title concerns study of pelagic sealing."
OV108,"Recommendation 5-3","Science issues",,high,"Title explicitly concerns Southern Ocean research."
OV109,"Recommendation 6-11",OUTSIDE_TAXONOMY,,medium,"New islands are identifiable but lack a matching taxonomy concern."
OV110,"Recommendation 6-12","Exchange of Information",,high,"Title explicitly concerns information exchange on rocket launching."
OV111,"Recommendation 7-3","Area Protection and Management Plans General",,high,"Title concerns SSSIs as a protected-area class."
OV112,"Recommendation 7-8","Operational issues",,high,"Title concerns cooperation in transport operations."
OV113,"Recommendation 7-9","Historic Sites and Monuments",,high,"Title explicitly concerns historic monuments."
OV114,"Recommendation 8-3","Area Protection and Management Plans General",,high,"Title concerns SSSIs as a protected-area class."
OV115,"Recommendation 8-5","Area Protection and Management Plans General",,high,"Title concerns general entry permits for protected areas."
OV116,"Recommendation 8-7","Operational issues",,high,"Title concerns cooperation in transport operations."
OV117,"Recommendation 9-4","Operational issues",,high,"Title concerns cooperation in transport operations."
OV118,"Recommendation 10-7","Prevention of marine pollution",,high,"Title explicitly concerns oil contamination of the marine environment."
OV119,"Recommendation 13-11",INSUFFICIENT_TITLE,,high,"Visible protected-areas title is truncated at a colon."
OV120,"Recommendation 13-13",INSUFFICIENT_TITLE,,high,"Visible named-area title is truncated before stating the action."
OV121,"Recommendation 14-1","Operation of the Antarctic Treaty system General",,high,"Title concerns public availability of ATCM documents."
OV122,"Recommendation 14-2","Environmental Impact Assessment EIA Other EIA Matters",,high,"Title explicitly concerns environmental impact assessment."
OV123,"Recommendation 14-4","Management Plans",,high,"Title extends designation of protected scientific-interest sites."
OV124,"Recommendation 14-5",INSUFFICIENT_TITLE,,high,"Visible title is truncated before identifying the full subject."
OV125,"Recommendation 14-6","Area Protection and Management Plans General",,high,"Title concerns marine SSSIs as protected areas."
OV126,"Recommendation 14-9","Safety and Operations in Antarctica",,high,"Title explicitly concerns air safety in Antarctica."
OV127,"Recommendation 15-19","Operational issues",,high,"Title concerns cooperative hydrographic charting operations."
OV128,"Recommendation 15-2","Environmental Protection General",,high,"Title broadly concerns protection of the Antarctic environment."
OV129,"Recommendation 15-22","Operation of the Antarctic Treaty system Reports",,high,"Title explicitly identifies Treaty System reports."
OV130,"Recommendation 15-3","Waste management and disposal",,high,"Title explicitly concerns waste disposal."
OV131,"Recommendation 15-7","Management Plans",,high,"Title redesignates a named protected area."
OV132,"Recommendation 16-1","Exchange of Information",,high,"Title explicitly concerns exchange of information."
OV133,"Recommendation 16-10","Area Protection and Management Plans General",,high,"Title reviews the protected-area system."
OV134,"Recommendation 16-5","Area Protection and Management Plans General",,high,"Title concerns the protected-area system generally."
OV135,"Recommendation 17-4","Climate Change","Science issues",high,"Title concerns global-change research in Antarctica."
OV136,"Resolution 2 (1995)","Waste management and disposal",,high,"Title concerns negotiations on nuclear-waste disposal."
OV137,"Resolution 5 (1995)",Inspections,,high,"Title explicitly concerns inspection checklists."
OV138,"Resolution 8 (1995)","Historic Sites and Monuments",,high,"Title gives guidelines for proposing new HSMs."
OV139,"Resolution 2 (1996)","Educational issues",,high,"Title explicitly concerns educational and cultural activities."
OV140,"Resolution 3 (1996)","Management Plans",,high,"Title extends expiry dates for named SSSIs."
OV141,"Resolution 5 (1996)","Area Protection and Management Plans General",,high,"Title establishes a system-wide ASPA numbering system."
OV142,"Resolution 1 (1997)","Emergency report and contingency planning",,high,"Title explicitly concerns contingency plans."
OV143,"Resolution 1 (1998)","Area Protection and Management Plans General",,high,"Title concerns the Protocol annex on protected areas."
OV144,"Resolution 2 (1998)","Area Protection and Management Plans General",,high,"Title gives general guidance for ASPA management plans."
OV145,"Resolution 4 (1998)","Exchange of Information",,medium,"Title concerns management of Antarctic data."
OV146,"Resolution 2 (1999)","Specially Protected Species",,high,"Title explicitly concerns the specially protected species list."
OV147,"Resolution 6 (1999)","Environmental Protection General",,high,"Title concerns general adherence to the Environment Protocol."
OV148,"Resolution 2 (2001)","Cooperation with Other Organisations","Marine living resources",high,"Title supports CCAMLR action against illegal fishing."
OV149,"Resolution 4 (2001)","Historic Sites and Monuments",,high,"Title explicitly concerns historic sites and monuments."
OV150,"Resolution 5 (2001)","Historic Sites and Monuments",,high,"Title governs handling of pre-1958 historic remains."
OV151,"Resolution 6 (2001)",INSUFFICIENT_TITLE,,high,"Title only recalls Treaty articles without stating a concern."
OV152,"Resolution 3 (2002)","Cooperation with Other Organisations",,high,"Title explicitly supports CCAMLR."
OV153,"Resolution 4 (2003)","Fauna and Flora_General",,high,"Title concerns conservation of albatrosses and petrels."
OV154,"Resolution 5 (2004)","Exchange of Information",,high,"Title explicitly aims to improve information exchange."
OV155,"Resolution 6 (2005)","Site Guidelines for Visitors",,high,"Title concerns an Antarctic post-visit site report form."
OV156,"Resolution 7 (2005)","Biological Prospecting",,high,"Title explicitly concerns biological prospecting."
OV157,"Resolution 5 (2007)","Tourism and NG_Activities",,high,"Title explicitly concerns Antarctic tourism."
OV158,"Resolution 1 (2008)","Area Protection and Management Plans General","Historic Sites and Monuments",high,"Title gives proposal guidance spanning protected areas and HSMs."
OV159,"Resolution 3 (2008)","Environmental Domains Analysis",,high,"Title explicitly concerns environmental domains analysis."
OV160,"Resolution 5 (2008)","Safety and Operations in Antarctica","Environmental Protection General",high,"Title links hydrographic charting to navigation safety and environmental protection."
OV161,"Resolution 6 (2008)","Search and Rescue",,high,"Title concerns maritime rescue coordination and SAR regions."
OV162,"Resolution 5 (2009)","Fauna and Flora_General",,high,"Title concerns protection of the Southern Giant Petrel."
OV163,"Resolution 7 (2009)","Tourism and NG_Activities",,high,"Title explicitly concerns principles of Antarctic tourism."
OV164,"Resolution 2 (2010)","International Polar Year",,high,"Title explicitly concerns an IPY contribution."
OV165,"Resolution 7 (2010)",INSUFFICIENT_TITLE,,high,"Visible passenger-vessel title is truncated before its destination or purpose."
OV166,"Resolution 2 (2011)","Area Protection and Management Plans General",,high,"Title gives general guidance for ASPA management plans."
OV167,"Resolution 2 (2012)","Institutional and legal matters",,high,"Title concerns cooperation on jurisdictional questions."
OV168,"Resolution 3 (2012)",INSUFFICIENT_TITLE,,medium,"Title does not identify the subject of improved cooperation."
OV169,"Resolution 3 (2013)","Site Guidelines for Visitors",,high,"Title explicitly concerns site guidelines for visitors."
OV170,"Resolution 6 (2013)","Biological Prospecting",,high,"Title explicitly concerns biological prospecting."
OV171,"Resolution 2 (2014)","Exchange of Information","Science issues",high,"Title concerns exchange of meteorological oceanographic and cryospheric information."
OV172,"Resolution 3 (2015)","Exchange of Information",,medium,"Title identifies an Antarctic environmental information portal."
OV173,"Resolution 5 (2015)","Fauna and Flora_General",,high,"Title concerns important areas for Antarctic birds."
OV174,"Resolution 6 (2015)","Climate Change",,high,"Title explicitly concerns Antarctica in global climate processes."
OV175,"Resolution 1 (2016)","Environmental Impact Assessment EIA Other EIA Matters",,high,"Title explicitly revises environmental impact assessment guidelines."
OV176,"Resolution 2 (2016)","Site Guidelines for Visitors",,high,"Title explicitly concerns site guidelines for visitors."
OV177,"Resolution 4 (2016)","Nonnative Species and Quarantine",,high,"Title explicitly concerns the CEP non-native species manual."
OV178,"Resolution 5 (2016)","Area Protection and Management Plans General","Historic Sites and Monuments",high,"Title gives proposal guidance spanning protected areas and HSMs."
OV179,"Resolution 3 (2017)","Environmental Domains Analysis",,high,"Title concerns Antarctic conservation biogeographic regions."
OV180,"Resolution 4 (2017)","Environmental Protection General",,low,"Title suggests an environmentally oriented expedition without a narrower concern."
OV181,"Resolution 5 (2017)","Marine Protected Areas",,high,"Title establishes the Ross Sea Region MPA."
OV182,"Resolution 6 (2017)","Emergency report and contingency planning","Tourism and NG_Activities",high,"Title governs contingency planning for tourism and NGO activities."
OV183,"Resolution 1 (2018)","Site Guidelines for Visitors",,high,"Title explicitly concerns site guidelines for visitors."
OV184,"Resolution 4 (2018)","Environmental Protection General","Operational issues",high,"Title gives environmental guidance for RPAS operations."
OV185,"Resolution 5 (2018)","Environmental Protection General","Science issues",high,"Title concerns an environmental code for scientific field research."
OV186,"Resolution 2 (2019)","Site Guidelines for Visitors",,high,"Title explicitly concerns site guidelines for visitors."
OV187,"Resolution 3 (2019)","Site Guidelines for Visitors",,high,"Title concerns assessment and review of visitor site guidelines."
OV188,"Resolution 4 (2019)","Fauna and Flora_General","Science issues",high,"Title governs use of animals for scientific purposes."
OV189,"Resolution 6 (2019)","Operational issues",,high,"Title concerns hydrographic mapping of Antarctic waters."
OV190,"Resolution 7 (2019)","Cooperation with Other Organisations","Science issues",high,"Title concerns SCAR scientific advice supporting the Treaty System."
OV191,"Resolution 1 (2021)","Environmental Protection General","Science issues",high,"Title concerns an environmental code for geoscience field research."
OV192,"Resolution 5 (2021)","Safety and Operations in Antarctica",,medium,"Title concerns an operational health-safety issue in Antarctica."
OV193,"Resolution 6 (2021)","Safety and Operations in Antarctica",,high,"Title explicitly concerns air safety in Antarctica."
OV194,"Resolution 4 (2022)","Climate Change",,high,"Title explicitly concerns Antarctic climate change and action."
OV195,"Resolution 2 (2023)","Climate Change",,high,"Title explicitly concerns climate change and Antarctica."
OV196,"Resolution 4 (2023)","Tourism and NG_Activities",,high,"Title concerns urgent measures for tourism and NGO activities."
OV197,"Resolution 2 (2024)","Tourism and NG_Activities",,high,"Title gives general guidance for Antarctic visitors."
OV198,"Resolution 1 (2025)","Site Guidelines for Visitors",,high,"Title explicitly concerns site guidelines for visitors."
OV199,"Resolution 2 (2025)","Area Protection and Management Plans General",,high,"Title concerns general implementation of the ASPA framework."
OV200,"Resolution 4 (2025)","Tourism and NG_Activities",,high,"Title gives general guidance for Antarctic visitors."
