validation_id,outcome_id,year,instrument,title,consensus_primary,consensus_secondary,consensus_confidence,consensus_source,in_stratified_120,in_headline_lineage_95,topic_top1,topic_top2,topic_top3,probability_top1,margin_top1_top2,high_confidence,codable,exact_top1,primary_in_top3,primary_or_secondary_in_top3,same_descriptive_region,human_model_proximity,in_lineage_union_157
OV063,Measure 13 (2009),2009,Measure,Designation of ASPA 171  (Narębski Point),Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Area Protection and Management Plans General,Management Plans,Fauna and Flora_General,0.4322608758304533,0.3850283267624583,False,True,False,True,True,True,0.6111111111111112,False
OV064,Measure 14 (2009),2009,Measure,Historic Sites 83 (Base “W”) and 84 (Hut at Damoy Point),Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,True,False,Historic Sites and Monuments,Waste management and disposal,Management Plans,0.9507330078401426,2.087242348952492,True,True,True,True,True,True,1.0,False
OV065,Measure 15 (2009),2009,Measure,Landing of Persons from Passenger vessels,Tourism and NG_Activities,,high,three_coder_unanimous+independent_audit,True,False,Search and Rescue,Tourism and NG_Activities,Operational issues,0.5417416974491482,1.0891710017964398,True,True,False,True,True,True,0.4,False
OV066,Measure 16 (2009),2009,Measure,Amendment of Annex II to the Environment Protocol,Environmental Protection General,,medium,adversarial_adjudication+independent_audit,False,True,Environmental Protection General,Liability,Area Protection and Management Plans General,0.9869810268431732,2.1185420705715794,True,True,True,True,True,True,1.0,True
OV067,Measure 11 (2010),2010,Measure,"Antarctic Specially Protected Area No 159 (Cape Adare, Borchgrevink Coast): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Management Plans,Environmental Domains Analysis,Safety and Operations in Antarctica,0.9956301130013022,2.9405305517837084,True,True,True,True,True,True,1.0,False
OV068,Measure 15 (2010),2010,Measure,Antarctic Historic Sites and Monuments: Plaque,Historic Sites and Monuments,,high,three_coder_unanimous+independent_audit,False,True,Historic Sites and Monuments,Environmental Monitoring and Reporting,Biological Prospecting,0.9948915406434886,2.974519323563309,True,True,True,True,True,True,1.0,True
OV069,Measure 2 (2010),2010,Measure,"Antarctic Specially Protected Area No 102 (Rookery Islands, Holme Bay, Mac.Robertson Land): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Management Plans,Prevention of marine pollution,Environmental Protection General,0.98924173169,2.80699717877945,True,True,True,True,True,True,1.0,False
OV070,Measure 4 (2010),2010,Measure,"Antarctic Specially Protected Area No 105 (Beaufort Island,",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Environmental Monitoring and Reporting,0.936041251104732,1.8102983243268311,True,False,False,False,False,False,,True
OV071,Measure 6 (2010),2010,Measure,Antarctic Specially Protected Area No 119 (Davis Valley and,INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Specially Protected Species,0.8071052434314163,0.9394031936040472,True,False,False,False,False,False,,True
OV072,Measure 3 (2011),2011,Measure,"ASPA 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Area Protection and Management Plans General,Management Plans,Historic Sites and Monuments,0.4177485164833612,0.0848532505226762,False,True,False,True,True,True,0.6111111111111112,True
OV073,Measure 1 (2012),2012,Measure,"ASPA No 109 (Moe Island, South Orkney Islands):",INSUFFICIENT_TITLE,,high,three_coder_unanimous+independent_audit,True,False,Management Plans,Nonnative Species and Quarantine,Comprehensive Environmental Evaluations,0.1929485613334741,0.3356856484242421,False,False,False,False,False,False,,False
OV074,Measure 11 (2012),2012,Measure,Antarctic Historic Sites and Monuments:,INSUFFICIENT_TITLE,,high,adversarial_adjudication+independent_audit,True,False,Historic Sites and Monuments,Educational issues,Environmental Monitoring and Reporting,0.9981066241677662,3.3495056649117774,True,False,False,False,False,False,,True
OV075,Measure 1 (2013),2013,Measure,"Antarctic Specially Protected Area No 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,True,True,Area Protection and Management Plans General,Management Plans,Environmental Protection General,0.8911602987875156,1.3222754660684854,True,True,False,True,True,True,0.6111111111111112,True
OV076,Measure 13 (2013),2013,Measure,"Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Area Protection and Management Plans General,Management Plans,Repair and remediation of environmental damage,0.940051103780203,1.4506066338590171,True,True,False,True,True,True,0.6111111111111112,True
OV077,Measure 15 (2013),2013,Measure,"Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Environmental Protection General,0.9732455294742464,2.11134363790378,True,True,True,True,True,True,1.0,True
OV078,Measure 4 (2013),2013,Measure,"Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Area Protection and Management Plans General,Management Plans,Nonnative Species and Quarantine,0.9273219389584488,1.2982969423175943,True,True,False,True,True,True,0.6111111111111112,True
OV079,Measure 6 (2013),2013,Measure,"Antarctic Specially Protected Area No 135 (North-east Bailey Peninsula, Budd Coast, Wilkes Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Historic Sites and Monuments,0.9067847496926068,1.29039757633791,True,True,True,True,True,True,1.0,True
OV080,Measure 9 (2013),2013,Measure,"Antarctic Specially Protected Area No 143 (Marine Plain, Mule Peninsula, Vestfold Hills, Princess Elizabeth Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Area Protection and Management Plans General,Management Plans,Human Footprint and wilderness values,0.7929512465466811,0.8202703553667168,True,True,False,True,True,True,0.6111111111111112,True
OV081,Measure 14 (2014),2014,Measure,"Antarctic Specially Managed Area No 1 (Admiralty Bay, King George Island): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Environmental Monitoring and Reporting,0.8478742027616571,0.789432368337271,True,True,True,True,True,True,1.0,True
OV082,Measure 9 (2014),2014,Measure,"Antarctic Specially Protected Area No 162 (Mawson's Huts, Cape Denison, Commonwealth Bay, George V Land, East Antarctica): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Area Protection and Management Plans General,Management Plans,Human Footprint and wilderness values,0.3883685345119076,0.1041406531253605,False,True,False,True,True,True,0.6111111111111112,False
OV083,Measure 1 (2015),2015,Measure,"Antarctic Specially Protected Area ASPA No. 101 (Taylor Rookery, Mac.Robertson Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Exchange of Information,0.9787237910260476,2.1904621534039967,True,True,True,True,True,True,1.0,True
OV084,Measure 18 (2015),2015,Measure,"Antarctic Specially Managed Area ASMA No. 2 (McMurdo Dry Valleys, Southern Victoria Land): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Management Plans,Area Protection and Management Plans General,Environmental Monitoring and Reporting,0.9811689047110912,1.9660383026026265,True,True,True,True,True,True,1.0,False
OV085,Measure 4 (2015),2015,Measure,"Antarctic Specially Protected Area ASPA No. 104 (Sabrina Island, Balleny Islands): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,False,True,Management Plans,Area Protection and Management Plans General,Environmental Monitoring and Reporting,0.881016633283152,0.8099539437355994,True,True,True,True,True,True,1.0,True
OV086,Measure 1 (2016),2016,Measure,"Antarctic Specially Protected Area ASPA No. 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island): Revised Management Plan.",Management Plans,,high,three_coder_unanimous+independent_audit,True,False,Management Plans,Area Protection and Management Plans General,Fauna and Flora_General,0.7689710035933041,0.6346014793427015,True,True,True,True,True,True,1.0,True
