validation_id,outcome_id,year,instrument,title,primary_a,secondary_a,confidence_a,rationale_a,primary_b,secondary_b,confidence_b,rationale_b,primary_c,secondary_c,confidence_c,rationale_c,n_distinct_primary,unanimous_primary,majority_primary,majority_count
OV011,Decision 1 (2005),2005,Decision,Annex VI on Liability Arising from Environmental Emergencies to the Protocol on Environmental Protection to the Antarctic Treaty,Liability,,high,The title explicitly concerns liability from environmental emergencies.,Liability,,high,The title explicitly concerns environmental-emergency liability.,Liability,,high,Title explicitly concerns liability for environmental emergencies.,1,True,Liability,3
OV012,Decision 10 (2005),2005,Decision,Establishment of an Electronic Information Exchange System,Exchange of Information,,high,The title establishes an electronic information exchange system.,Exchange of Information,,high,The title concerns an electronic information exchange system.,Exchange of Information,,high,Title establishes an electronic information exchange system.,1,True,Exchange of Information,3
OV013,Decision 2 (2005),2005,Decision,Decision confirming the recognition of Ukraine as a Consultative Party,Operation of the Antarctic Treaty system General,,high,The title concerns recognition of Consultative Party status.,Operation of the Antarctic Treaty system General,,high,The title concerns recognition of Consultative Party status.,Operation of the Antarctic Treaty system General,,high,Title concerns recognition of Consultative Party status.,1,True,Operation of the Antarctic Treaty system General,3
OV014,Decision 3 (2005),2005,Decision,Amendments to the Rules of Procedure,Operation of the Antarctic Treaty system General,,high,The title concerns amendments to procedural rules.,Operation of the Antarctic Treaty system General,,medium,The title concerns amendments to procedural rules.,Operation of the Antarctic Treaty system General,,high,Title concerns amendments to procedural rules.,1,True,Operation of the Antarctic Treaty system General,3
OV015,Decision 4 (2005),2005,Decision,Consultative Party Status,Operation of the Antarctic Treaty system General,,high,The title explicitly concerns Consultative Party status.,Operation of the Antarctic Treaty system General,,high,The title explicitly concerns Consultative Party status.,Operation of the Antarctic Treaty system General,,high,Title explicitly concerns Consultative Party status.,1,True,Operation of the Antarctic Treaty system General,3
OV016,Decision 5 (2005),2005,Decision,Appointment of External Auditor,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns appointment of an external auditor.,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns appointment of an external auditor.,Operation of the Antarctic Treaty system The Secretariat,,medium,External-auditor appointment is a Secretariat audit function.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV017,Decision 9 (2005),2005,Decision,Marine Protected Areas and other areas of interest to CCAMLR,Marine Protected Areas,Cooperation with Other Organisations,high,The title concerns marine protected areas and explicitly links them to CCAMLR.,Marine Protected Areas,Cooperation with Other Organisations,high,The title concerns marine protected areas in relation to CCAMLR.,Marine Protected Areas,Cooperation with Other Organisations,high,Title concerns MPAs and explicitly relates them to CCAMLR.,1,True,Marine Protected Areas,3
OV018,Decision 3 (2007),2007,Decision,Appointment of an External Auditor,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns appointment of an external auditor.,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns appointment of an external auditor.,Operation of the Antarctic Treaty system The Secretariat,,medium,External-auditor appointment is a Secretariat audit function.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV019,Decision 1 (2008),2008,Decision,Amendment to the Rules of Procedure,Operation of the Antarctic Treaty system General,,high,The title concerns an amendment to procedural rules.,Operation of the Antarctic Treaty system General,,medium,The title concerns an amendment to procedural rules.,Operation of the Antarctic Treaty system General,,high,Title concerns amendment of procedural rules.,1,True,Operation of the Antarctic Treaty system General,3
OV020,Decision 2 (2008),2008,Decision,Approval of the Secretariat's Financial Report for 2006/07 and Programme and Budget for 2008/09,Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers the Secretariat financial report, programme, and budget.",Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns Secretariat finances and programme.,Operation of the Antarctic Treaty system The Secretariat,,high,Title concerns Secretariat finance programme and budget.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV021,Decision 4 (2008),2008,Decision,Procedure for Selection and Appointment of the Executive Secretary of the Secretariat of the Antarctic Treaty,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns selection of the Secretariat's Executive Secretary.,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns selecting the Secretariat Executive Secretary.,Operation of the Antarctic Treaty system The Secretariat,,high,Title concerns appointment of the Secretariat Executive Secretary.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV022,Decision 5 (2008),2008,Decision,Electronic Information Exchange System,Exchange of Information,,high,The title explicitly names the electronic information exchange system.,Exchange of Information,,high,The title explicitly names the electronic information exchange system.,Exchange of Information,,high,Title explicitly names the electronic information exchange system.,1,True,Exchange of Information,3
OV023,Decision 5 (2009),2009,Decision,"(Part II, section 2, page 245).",INSUFFICIENT_TITLE,,high,Only a document location is visible and no concern is stated.,INSUFFICIENT_TITLE,,high,Only a document page reference is visible.,INSUFFICIENT_TITLE,,high,Visible text is only a document page reference.,1,True,INSUFFICIENT_TITLE,3
OV024,Decision 6 (2009),2009,Decision,"(Part II, section 2, page 251).",INSUFFICIENT_TITLE,,high,Only a document location is visible and no concern is stated.,INSUFFICIENT_TITLE,,high,Only a document page reference is visible.,INSUFFICIENT_TITLE,,high,Visible text is only a document page reference.,1,True,INSUFFICIENT_TITLE,3
OV025,Decision 1 (2010),2010,Decision,Compilation of Key Documents of the Antarctic Treaty System,Operation of the Antarctic Treaty system General,,high,The title concerns compilation of Treaty System documents.,Operation of the Antarctic Treaty system General,,high,The title concerns compilation of Treaty System documents.,Operation of the Antarctic Treaty system General,,high,Title concerns compilation of Treaty System documents.,1,True,Operation of the Antarctic Treaty system General,3
OV026,Decision 2 (2010),2010,Decision,"Secretariat Reports, Programme and Budgets",Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers Secretariat reports, programme, and budgets.",Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns Secretariat reports programmes and budgets.,Operation of the Antarctic Treaty system The Secretariat,,high,Title explicitly concerns Secretariat reports programme and budgets.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV027,Decision 3 (2010),2010,Decision,Revised Rules of Procedure for the Committee for,INSUFFICIENT_TITLE,,high,The title is truncated before identifying which committee is governed.,INSUFFICIENT_TITLE,,high,The title is truncated before identifying the committee.,INSUFFICIENT_TITLE,,high,Visible title is truncated after an unnamed committee.,1,True,INSUFFICIENT_TITLE,3
OV028,Decision 4 (2010),2010,Decision,Liability arising from Environmental Emergencies,Liability,,high,The title explicitly concerns liability from environmental emergencies.,Liability,,high,The title explicitly concerns environmental-emergency liability.,Liability,,high,Title explicitly concerns environmental-emergency liability.,1,True,Liability,3
OV029,Decision 5 (2010),2010,Decision,"Letters to UNFCCC, IPCC, WMO and IMO",Cooperation with Other Organisations,,high,The title concerns letters to four named international organizations.,Cooperation with Other Organisations,Climate Change,high,The title concerns letters to international climate and maritime bodies.,Cooperation with Other Organisations,,high,Title concerns letters to four named international organizations.,1,True,Cooperation with Other Organisations,3
OV030,Decision 1 (2011),2011,Decision,Measures designated as no longer current,Operation of the Antarctic Treaty system General,,high,The title concerns the current status of Treaty measures.,Operation of the Antarctic Treaty system General,,high,The title concerns the current status of Treaty measures.,Operation of the Antarctic Treaty system General,,high,Title concerns the currency of Treaty measures.,1,True,Operation of the Antarctic Treaty system General,3
OV031,Decision 2 (2011),2011,Decision,"Revised Rules of Procedure for the Antarctic Treaty Consultative Meeting (2011); Revised Rules of Procedure for the Committee for Environmental Protection (2011); Guidelines for the Submission, Translation and Distribution",Operation of the Antarctic Treaty system General,Operation of the CEP,high,The title materially spans ATCM and CEP procedural rules.,Operation of the Antarctic Treaty system General,Operation of the CEP,high,The title covers ATCM and CEP procedural rules.,Operation of the Antarctic Treaty system General,Operation of the CEP,high,Title spans ATCM rules and CEP rules and document procedures.,1,True,Operation of the Antarctic Treaty system General,3
OV032,Decision 4 (2012),2012,Decision,"Electronic Information Exchange System, encouraging use of the system and modifying it in several respects; and Parties will continue to work with the Secretariat to refine and improve the EIES.",Exchange of Information,,high,The title concerns use and refinement of the electronic information exchange system.,Exchange of Information,,high,The title concerns use and refinement of the EIES.,Exchange of Information,,high,Title concerns use and refinement of the EIES.,1,True,Exchange of Information,3
OV033,Decision 1 (2013),2013,Decision,Recognition of the Czech Republic as a Consultative Party,Operation of the Antarctic Treaty system General,,high,The title concerns recognition of Consultative Party status.,Operation of the Antarctic Treaty system General,,high,The title concerns recognition of Consultative Party status.,Operation of the Antarctic Treaty system General,,high,Title concerns recognition as a Consultative Party.,1,True,Operation of the Antarctic Treaty system General,3
OV034,Decision 3 (2013),2013,Decision,Renewal of the Contract of the Secretariat's External Auditor,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns renewal of the Secretariat external auditor's contract.,Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns the Secretariat external auditor.,Operation of the Antarctic Treaty system The Secretariat,,high,Title explicitly renews the Secretariat external auditor.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV035,Decision 4 (2013),2013,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers the Secretariat report, programme, and budget.",Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns the Secretariat report programme and budget.,Operation of the Antarctic Treaty system The Secretariat,,high,Title explicitly concerns Secretariat reporting programme and budget.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV036,Decision 3 (2014),2014,Decision,"Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative Meeting, including two new priorities.",Multiyear strategic workplan,,high,The title explicitly concerns the ATCM multi-year strategic work plan.,Multiyear strategic workplan,,high,The title explicitly names the ATCM multi-year work plan.,Multiyear strategic workplan,,high,Title explicitly names the multi-year ATCM work plan.,1,True,Multiyear strategic workplan,3
OV037,Decision 1 (2015),2015,Decision,Revised Rules of Procedure for the Antarctic Treaty Consultative Meeting (2015): Committees and Working Groups.,Operation of the Antarctic Treaty system General,,high,The title concerns ATCM procedural rules for committees and working groups.,Operation of the Antarctic Treaty system General,,high,The title concerns ATCM procedural rules for committees.,Operation of the Antarctic Treaty system General,,high,Title revises ATCM rules for committees and working groups.,1,True,Operation of the Antarctic Treaty system General,3
OV038,Decision 4 (2015),2015,Decision,Multi-Year Strategic Work Plan for the Antarctic Treaty Consultative Meeting.,Multiyear strategic workplan,,high,The title explicitly concerns the ATCM multi-year strategic work plan.,Multiyear strategic workplan,,high,The title explicitly names the ATCM multi-year work plan.,Multiyear strategic workplan,,high,Title explicitly names the multi-year ATCM work plan.,1,True,Multiyear strategic workplan,3
OV039,Decision 2 (2017),2017,Decision,Guidelines on the procedure to be followed with respect to Consultative Party status.,Operation of the Antarctic Treaty system General,,high,The title concerns procedure for Consultative Party status.,Operation of the Antarctic Treaty system General,,high,The title concerns procedure for Consultative Party status.,Operation of the Antarctic Treaty system General,,high,Title concerns procedure for Consultative Party status.,1,True,Operation of the Antarctic Treaty system General,3
OV040,Decision 4 (2017),2017,Decision,Procedure for Appointing Antarctic Treaty Consultative Meeting Working Group Chairs,Operation of the Antarctic Treaty system General,,high,The title concerns appointment procedure for ATCM working-group chairs.,Operation of the Antarctic Treaty system General,,high,The title concerns appointment of ATCM working-group chairs.,Operation of the Antarctic Treaty system General,,high,Title concerns appointment procedure for ATCM chairs.,1,True,Operation of the Antarctic Treaty system General,3
OV041,Decision 1 (2018),2018,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers the Secretariat report, programme, and budget.",Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns the Secretariat report programme and budget.,Operation of the Antarctic Treaty system The Secretariat,,high,Title concerns Secretariat report programme and budget.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV042,Decision 1 (2019),2019,Decision,Redesign of the Format of the List of Historic Sites and Monuments.,Historic Sites and Monuments,,high,The title concerns the format of the Historic Sites and Monuments list.,Historic Sites and Monuments,,high,The title concerns formatting the historic-sites list.,Historic Sites and Monuments,,high,Title explicitly concerns the HSM list format.,1,True,Historic Sites and Monuments,3
OV043,Decision 3 (2019),2019,Decision,"Secretariat Report, Programme and Budget",Operation of the Antarctic Treaty system The Secretariat,,high,"The title explicitly covers the Secretariat report, programme, and budget.",Operation of the Antarctic Treaty system The Secretariat,,high,The title concerns the Secretariat report programme and budget.,Operation of the Antarctic Treaty system The Secretariat,,high,Title concerns Secretariat report programme and budget.,1,True,Operation of the Antarctic Treaty system The Secretariat,3
OV044,Decision 6 (2019),2019,Decision,Manual of Regulations and Guidelines Relevant to Tourism and Non-Governmental Activities in Antarctica,Tourism and NG_Activities,,high,The title concerns regulations and guidelines for tourism and non-governmental activities.,Tourism and NG_Activities,,high,The title concerns regulations for tourism and nongovernmental activities.,Tourism and NG_Activities,,high,Title explicitly governs tourism and non-governmental activities.,1,True,Tourism and NG_Activities,3
OV045,Decision 1 (2021),2021,Decision,Antarctic Protected Areas System: Reformatted List of Historic Sites and Monuments,Historic Sites and Monuments,,high,The title concerns a reformatted list of Historic Sites and Monuments.,Historic Sites and Monuments,,high,The title concerns the historic-sites and monuments list.,Historic Sites and Monuments,,high,Title explicitly concerns the HSM list.,1,True,Historic Sites and Monuments,3
OV046,Decision 5 (2021),2021,Decision,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Multiyear strategic workplan,,high,The title explicitly concerns the ATCM multi-year strategic work plan.,Multiyear strategic workplan,,high,The title explicitly names the ATCM multi-year work plan.,Multiyear strategic workplan,,high,Title explicitly names the multi-year ATCM work plan.,1,True,Multiyear strategic workplan,3
OV047,Decision 2 (2022),2022,Decision,Liability arising from environmental emergencies,Liability,,high,The title explicitly concerns liability from environmental emergencies.,Liability,,high,The title explicitly concerns environmental-emergency liability.,Liability,,high,Title explicitly concerns environmental-emergency liability.,1,True,Liability,3
OV048,Decision 5 (2023),2023,Decision,Multi-year Strategic Work Plan for the Antarctic Treaty Consultative Meeting,Multiyear strategic workplan,,high,The title explicitly concerns the ATCM multi-year strategic work plan.,Multiyear strategic workplan,,high,The title explicitly names the ATCM multi-year work plan.,Multiyear strategic workplan,,high,Title explicitly names the multi-year ATCM work plan.,1,True,Multiyear strategic workplan,3
OV049,Measure 1 (1997),1997,Measure,Antarctic Protected Areas System: Revised Description and Management Plan for Specially Protected Area,Management Plans,,high,The title concerns a revised protected-area description and management plan.,Management Plans,,high,The title concerns a revised protected-area management plan.,Management Plans,,high,Title concerns a revised protected-area management plan.,1,True,Management Plans,3
OV050,Measure 2 (1997),1997,Measure,Antarctic Protected Areas System: Management Plans for Specially Protected Areas,Management Plans,,high,The title explicitly concerns management plans for protected areas.,Management Plans,,high,The title concerns management plans for protected areas.,Management Plans,,high,Title explicitly concerns protected-area management plans.,1,True,Management Plans,3
OV051,Measure 3 (1997),1997,Measure,Antarctic Protected Areas System: Revised Descriptions and Management Plans for Sites of Special Scientific Interest (SSSI),Management Plans,,high,The title concerns revised descriptions and plans for designated sites.,Management Plans,,high,The title concerns revised plans for specified protected sites.,Management Plans,,high,Title concerns revised descriptions and management plans for SSSIs.,1,True,Management Plans,3
OV052,Measure 5 (1997),1997,Measure,Antarctic Protected Areas System: Historic Sites and Monuments: Amendment Number 41: Stone Hut on Paulet Island,Historic Sites and Monuments,,high,The title names a specific historic monument amendment.,Historic Sites and Monuments,,high,The title names a historic monument amendment.,Historic Sites and Monuments,,high,Title names an HSM amendment for Stone Hut.,1,True,Historic Sites and Monuments,3
OV053,Measure 1 (1998),1998,Measure,Antarctic Protected Areas System: Management Plans for Specially Protected Areas,Management Plans,,high,The title explicitly concerns management plans for protected areas.,Management Plans,,high,The title concerns management plans for protected areas.,Management Plans,,high,Title explicitly concerns protected-area management plans.,1,True,Management Plans,3
OV054,Measure 2 (1998),1998,Measure,"Antarctic Protected Areas System: Historic Sites and Monuments. South-West Coast of Elephant Island, South Shetland Islands",Historic Sites and Monuments,,high,The title names a Historic Site or Monument location.,Historic Sites and Monuments,,high,The title names a historic site.,Historic Sites and Monuments,,high,Title names a historic site on Elephant Island.,1,True,Historic Sites and Monuments,3
OV055,Measure 1 (2001),2001,Measure,Antarctic Protected Area System Historic Sites And Monuments,Historic Sites and Monuments,,high,The title explicitly concerns Historic Sites and Monuments.,Historic Sites and Monuments,,high,The title explicitly concerns historic sites and monuments.,Historic Sites and Monuments,,high,Title explicitly concerns historic sites and monuments.,1,True,Historic Sites and Monuments,3
OV056,Measure 2 (2001),2001,Measure,Antarctic Protected Area System Historic Sites And Monuments,Historic Sites and Monuments,,high,The title explicitly concerns Historic Sites and Monuments.,Historic Sites and Monuments,,high,The title explicitly concerns historic sites and monuments.,Historic Sites and Monuments,,high,Title explicitly concerns historic sites and monuments.,1,True,Historic Sites and Monuments,3
OV057,Measure 3 (2001),2001,Measure,Antarctic Protected Areas System: Extension of Expiry Dates for Certain Sites of Special Scientific Interest,Management Plans,,high,The title changes expiry dates for particular designated scientific-interest sites.,Management Plans,,high,The title extends expiry dates for specified protected sites.,Management Plans,,high,Title extends expiry dates for individual protected sites.,1,True,Management Plans,3
OV058,Measure 1 (2004),2004,Measure,ANTARCTIC SPECIALLY MANAGED AREAS: DESIGNATIONS AND MANAGEMENT PLANS,Management Plans,,high,The title concerns ASMA designations and management plans.,Management Plans,,high,The title concerns ASMA designations and management plans.,Management Plans,,high,Title concerns ASMA designations and management plans.,1,True,Management Plans,3
OV059,Measure 1 (2006),2006,Measure,Antarctic Specially Protected Areas: Designations and Management Plans,Management Plans,,high,The title concerns ASPA designations and management plans.,Management Plans,,high,The title concerns ASPA designations and management plans.,Management Plans,,high,Title concerns ASPA designations and management plans.,1,True,Management Plans,3
OV060,Measure 1 (2007),2007,Measure,Antarctic Specially Protected Areas: Revised Management Plans,Management Plans,,high,The title explicitly concerns revised ASPA management plans.,Management Plans,,high,The title concerns revised ASPA management plans.,Management Plans,,high,Title explicitly concerns revised ASPA management plans.,1,True,Management Plans,3
OV061,Measure 3 (2007),2007,Measure,Antarctic Historic Sites and Monuments: Monument to the Antarctic Treaty,Historic Sites and Monuments,,high,The title names a monument to the Antarctic Treaty.,Historic Sites and Monuments,,high,The title names an Antarctic historic monument.,Historic Sites and Monuments,,high,Title names a Treaty monument.,1,True,Historic Sites and Monuments,3
OV062,Measure 13 (2008),2008,Measure,"Antarctic Specially Protected Area No 160 (Frazier Islands, Windmill Islands, Wilkes Land, East Antarctica): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 160.,1,True,Management Plans,3
OV063,Measure 13 (2009),2009,Measure,Designation of ASPA 171  (Narębski Point),Management Plans,,high,The title designates a numbered individual ASPA.,Management Plans,,high,The title designates a named ASPA.,Management Plans,,high,Title designates named ASPA 171.,1,True,Management Plans,3
OV064,Measure 14 (2009),2009,Measure,Historic Sites 83 (Base “W”) and 84 (Hut at Damoy Point),Historic Sites and Monuments,,high,The title names two numbered historic sites.,Historic Sites and Monuments,,high,The title names two historic sites.,Historic Sites and Monuments,,high,Title names Historic Sites 83 and 84.,1,True,Historic Sites and Monuments,3
OV065,Measure 15 (2009),2009,Measure,Landing of Persons from Passenger vessels,Tourism and NG_Activities,,high,The title governs landing from passenger vessels.,Tourism and NG_Activities,,high,The title concerns landings from passenger vessels.,Tourism and NG_Activities,,high,Title concerns landing people from passenger vessels.,1,True,Tourism and NG_Activities,3
OV066,Measure 16 (2009),2009,Measure,Amendment of Annex II to the Environment Protocol,INSUFFICIENT_TITLE,,medium,The title names an annex amendment but not its substantive concern.,Environmental Protection General,,medium,The title concerns amendment of an Environment Protocol annex.,Environmental Protection General,,medium,Title concerns an Environment Protocol annex without a narrower stated subject.,2,False,Environmental Protection General,2
OV067,Measure 11 (2010),2010,Measure,"Antarctic Specially Protected Area No 159 (Cape Adare, Borchgrevink Coast): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 159.,1,True,Management Plans,3
OV068,Measure 15 (2010),2010,Measure,Antarctic Historic Sites and Monuments: Plaque,Historic Sites and Monuments,,high,The title explicitly identifies an Antarctic historic plaque.,Historic Sites and Monuments,,high,The title names an Antarctic historic monument plaque.,Historic Sites and Monuments,,high,Title explicitly concerns an Antarctic historic plaque.,1,True,Historic Sites and Monuments,3
OV069,Measure 2 (2010),2010,Measure,"Antarctic Specially Protected Area No 102 (Rookery Islands, Holme Bay, Mac.Robertson Land): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 102.,1,True,Management Plans,3
OV070,Measure 4 (2010),2010,Measure,"Antarctic Specially Protected Area No 105 (Beaufort Island,",INSUFFICIENT_TITLE,,high,The title is truncated after naming an ASPA and states no action.,INSUFFICIENT_TITLE,,high,The truncated title names an ASPA but not the action.,INSUFFICIENT_TITLE,,high,Visible ASPA title is truncated before stating the action.,1,True,INSUFFICIENT_TITLE,3
OV071,Measure 6 (2010),2010,Measure,Antarctic Specially Protected Area No 119 (Davis Valley and,INSUFFICIENT_TITLE,,high,The title is truncated after naming an ASPA and states no action.,INSUFFICIENT_TITLE,,high,The truncated title names an ASPA but not the action.,INSUFFICIENT_TITLE,,high,Visible ASPA title is truncated before stating the action.,1,True,INSUFFICIENT_TITLE,3
OV072,Measure 3 (2011),2011,Measure,"ASPA 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 122.,1,True,Management Plans,3
OV073,Measure 1 (2012),2012,Measure,"ASPA No 109 (Moe Island, South Orkney Islands):",INSUFFICIENT_TITLE,,high,The title ends after naming an ASPA and states no action.,INSUFFICIENT_TITLE,,high,The truncated title names an ASPA but not the action.,INSUFFICIENT_TITLE,,high,Visible ASPA title ends at a colon without stating the action.,1,True,INSUFFICIENT_TITLE,3
OV074,Measure 11 (2012),2012,Measure,Antarctic Historic Sites and Monuments:,INSUFFICIENT_TITLE,,high,The title is truncated after a general Historic Sites and Monuments heading.,Historic Sites and Monuments,,medium,The visible subject is Antarctic historic sites and monuments.,INSUFFICIENT_TITLE,,medium,Visible historic-sites title ends at a colon and omits the action.,2,False,INSUFFICIENT_TITLE,2
OV075,Measure 1 (2013),2013,Measure,"Antarctic Specially Protected Area No 108 (Green Island, Berthelot Islands, Antarctic Peninsula): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 108.,1,True,Management Plans,3
OV076,Measure 13 (2013),2013,Measure,"Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 156.,1,True,Management Plans,3
OV077,Measure 15 (2013),2013,Measure,"Antarctic Specially Protected Area No 161 (Terra Nova Bay, Ross Sea): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 161.,1,True,Management Plans,3
OV078,Measure 4 (2013),2013,Measure,"Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 132.,1,True,Management Plans,3
OV079,Measure 6 (2013),2013,Measure,"Antarctic Specially Protected Area No 135 (North-east Bailey Peninsula, Budd Coast, Wilkes Land): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 135.,1,True,Management Plans,3
OV080,Measure 9 (2013),2013,Measure,"Antarctic Specially Protected Area No 143 (Marine Plain, Mule Peninsula, Vestfold Hills, Princess Elizabeth Land): Revised Management Plan.",Management Plans,,high,The title names an individual ASPA revised management plan.,Management Plans,,high,The title names an ASPA revised management plan.,Management Plans,,high,Title revises the management plan for named ASPA 143.,1,True,Management Plans,3
