validation_id,outcome_id,year,instrument,title,consensus_primary,consensus_secondary,consensus_confidence,consensus_source
OS022,Resolution 4 (2004),2004,Resolution,"GUIDELINES ON CONTINGENCY PLANNING, INSURANCE AND OTHER MATTERS FOR TOURIST AND OTHER NON-GOVERNMENTAL ACTIVITIES IN THE ANTARCTIC TREATY AREA",Emergency report and contingency planning,Tourism and NG_Activities,high,three_coder_unanimous
OS023,Resolution 4 (2008),2008,Resolution,Checklist to assist in the inspection of Antarctic Specially Protected Areas and Antarctic Specially Managed Areas,Inspections,Area Protection and Management Plans General,high,three_coder_unanimous
OS024,Resolution 1 (2010),2010,Resolution,Site Guidelines for visitors,Site Guidelines for Visitors,,high,three_coder_unanimous
OS025,Resolution 3 (2010),2010,Resolution,"Revised Antarctic inspection Checklist ""A""",Inspections,,high,three_coder_unanimous
OS026,Resolution 5 (2010),2010,Resolution,Co-ordination among Antarctic Treaty Parties on Antarctic proposals under consideration in the IMO,Cooperation with Other Organisations,,high,three_coder_unanimous
OS027,Resolution 6 (2010),2010,Resolution,Improving the co-ordination of maritime search and rescue,Search and Rescue,,high,three_coder_unanimous
OS028,Resolution 6 (2011),2011,Resolution,Non-native Species,Nonnative Species and Quarantine,,high,three_coder_unanimous
OS029,Resolution 7 (2012),2012,Resolution,Vessel Safety in the Antarctic Treaty area.,Safety and Operations in Antarctica,,high,three_coder_unanimous
OS030,Resolution 8 (2012),2012,Resolution,"Improved Coordination of Maritime, Aeronautical and Land-Based Search and Rescue.",Search and Rescue,,high,three_coder_unanimous
OS031,Resolution 9 (2012),2012,Resolution,The Assessment of Land-Based Expeditionary Activities.,Tourism and NG_Activities,,medium,three_coder_unanimous
OS032,Resolution 1 (2013),2013,Resolution,Air Safety in Antarctica,Safety and Operations in Antarctica,,high,three_coder_unanimous
OS033,Resolution 1 (2014),2014,Resolution,Fuel Storage and Handling,Operational issues,,medium,three_coder_unanimous
OS034,Resolution 3 (2014),2014,Resolution,Supporting the Polar Code,Cooperation with Other Organisations,,medium,adversarial_adjudication
OS035,Resolution 4 (2014),2014,Resolution,Site Guidelines for visitors,Site Guidelines for Visitors,,high,three_coder_unanimous
OS036,Resolution 5 (2014),2014,Resolution,Strengthening Cooperation in Hydrographic Surveying and Charting of Antarctic Waters,Operational issues,,high,three_coder_unanimous
OS037,Resolution 6 (2014),2014,Resolution,Toward a Risk-based Assessment of Tourism and Non-Governmental Activities.,Tourism and NG_Activities,,high,three_coder_unanimous
OS038,Resolution 1 (2015),2015,Resolution,Cooperative Air Transport Systems.,Operational issues,,high,three_coder_unanimous
OS039,Resolution 3 (2016),2016,Resolution,Code of Conduct for Activity within Terrestrial Geothermal Environments in Antarctica,Environmental Protection General,,medium,three_coder_unanimous
OS040,Resolution 1 (2017),2017,Resolution,Guidance Material for Antarctic Specially Managed Area (ASMA) designations,Area Protection and Management Plans General,,high,three_coder_unanimous
OS041,Resolution 2 (2018),2018,Resolution,Guidelines for the assessment and management of Heritage in Antarctica,Historic Sites and Monuments,,high,three_coder_unanimous
OS042,Resolution 1 (2019),2019,Resolution,Revised Antarctic Clean-Up Manual,Repair and remediation of environmental damage,,medium,three_coder_unanimous
OS043,Resolution 5 (2019),2019,Resolution,Reducing Plastic Pollution in Antarctica and the Southern Ocean,Prevention of marine pollution,,medium,three_coder_unanimous
OS044,Resolution 2 (2021),2021,Resolution,"Revised Guide to the presentation of Working Papers containing proposals for Antarctic Specially Protected Areas, Antarctic Specially Managed Areas or Historic Sites and Monuments",Area Protection and Management Plans General,Historic Sites and Monuments,high,three_coder_unanimous
OS045,Resolution 6 (2022),2022,Resolution,Revised standard Post Visit Report Form,Site Guidelines for Visitors,,high,three_coder_unanimous
OS046,Resolution 1 (2024),2024,Resolution,Revised Guide to the Preparation of Management Plans for Antarctic Specially Protected Areas,Area Protection and Management Plans General,,high,three_coder_unanimous
