validation_id,outcome_id,primary_concern,secondary_concern,confidence,rationale
OV174,Resolution 6 (2015),Climate Change,,high,"The title explicitly concerns Antarctica in global climate processes."
OV175,Resolution 1 (2016),Environmental Impact Assessment EIA Other EIA Matters,Environmental Protection General,high,"The title concerns revised EIA guidance and Protocol implementation."
OV176,Resolution 2 (2016),Site Guidelines for Visitors,,high,"The title explicitly concerns site guidelines for visitors."
OV177,Resolution 4 (2016),Nonnative Species and Quarantine,Operation of the CEP,high,"The title explicitly concerns the CEP non-native species manual."
OV178,Resolution 5 (2016),Area Protection and Management Plans General,Historic Sites and Monuments,high,"The title gives general proposal guidance spanning protected areas and historic sites."
OV179,Resolution 3 (2017),Environmental Domains Analysis,,high,"The title concerns Antarctic conservation biogeographic regions."
OV180,Resolution 4 (2017),Environmental Protection General,,medium,"The title describes an environmentally oriented Antarctic expedition."
OV181,Resolution 5 (2017),Marine Protected Areas,,high,"The title establishes a named marine protected area."
OV182,Resolution 6 (2017),Emergency report and contingency planning,Tourism and NG_Activities,high,"The title concerns contingency planning for tourist and non-governmental activities."
OV183,Resolution 1 (2018),Site Guidelines for Visitors,,high,"The title explicitly concerns site guidelines for visitors."
OV184,Resolution 4 (2018),Environmental Protection General,Operational issues,high,"The title sets environmental guidelines for operating remotely piloted aircraft."
OV185,Resolution 5 (2018),Environmental Protection General,Science issues,high,"The title concerns an environmental code for terrestrial scientific field research."
OV186,Resolution 2 (2019),Site Guidelines for Visitors,,high,"The title explicitly concerns site guidelines for visitors."
OV187,Resolution 3 (2019),Site Guidelines for Visitors,,high,"The title concerns assessment and review of visitor site guidelines."
OV188,Resolution 4 (2019),Fauna and Flora_General,Science issues,high,"The title concerns use of animals for scientific purposes."
OV189,Resolution 6 (2019),Operational issues,,medium,"The title concerns hydrographic mapping of Antarctic waters."
OV190,Resolution 7 (2019),Cooperation with Other Organisations,Science issues,high,"The title recognizes SCAR and its scientific-advice role for the Treaty System."
OV191,Resolution 1 (2021),Environmental Protection General,Science issues,high,"The title concerns a SCAR environmental code for geoscience field research."
OV192,Resolution 5 (2021),Safety and Operations in Antarctica,,medium,"The title concerns a disease hazard affecting Antarctic activity."
OV193,Resolution 6 (2021),Safety and Operations in Antarctica,,high,"The title explicitly concerns air safety in Antarctica."
OV194,Resolution 4 (2022),Climate Change,Environmental Protection General,high,"The title concerns Antarctic climate change, environmental effects, and action."
OV195,Resolution 2 (2023),Climate Change,,high,"The title explicitly concerns climate change and Antarctica."
OV196,Resolution 4 (2023),Tourism and NG_Activities,,high,"The title calls for measures governing tourist and non-governmental activities."
OV197,Resolution 2 (2024),Tourism and NG_Activities,,high,"The title concerns general guidelines for Antarctic visitors."
OV198,Resolution 1 (2025),Site Guidelines for Visitors,,high,"The title explicitly concerns site guidelines for visitors."
OV199,Resolution 2 (2025),Area Protection and Management Plans General,,high,"The title concerns implementation guidance for the ASPA framework."
OV200,Resolution 4 (2025),Tourism and NG_Activities,,high,"The title concerns general guidelines for Antarctic visitors."
