paper_id,category,fractional_weight
361,Exchange of Information,1.0
362,Operational issues,0.5
362,Search and Rescue,0.5
363,Environmental Domains Analysis,1.0
364,Marine Acoustics,1.0
365,Nonnative Species and Quarantine,1.0
366,Operation of the Antarctic Treaty system General,1.0
367,Science issues,1.0
368,Operational issues,1.0
369,Educational issues,1.0
371,Exchange of Information,1.0
372,Environmental Protection General,1.0
373,Nonnative Species and Quarantine,1.0
374,Safety and Operations in Antarctica,1.0
376,Environmental Protection General,1.0
377,Comprehensive Environmental Evaluations,1.0
378,International Polar Year,0.5
378,Science issues,0.5
379,Marine Protected Areas,1.0
380,Liability,1.0
381,Exchange of Information,1.0
385,Science issues,1.0
386,International Polar Year,1.0
387,Science issues,1.0
388,Operational issues,1.0
390,Sub glacial Lakes,1.0
391,Science issues,1.0
392,Operation of the Antarctic Treaty system General,1.0
393,International Polar Year,1.0
394,Biological Prospecting,1.0
395,Biological Prospecting,1.0
396,Science issues,1.0
397,Cooperation with Other Organisations,1.0
398,Area Protection and Management Plans General,1.0
399,Exchange of Information,1.0
400,Environmental Impact Assessment EIA Other EIA Matters,1.0
401,Environmental Impact Assessment EIA Other EIA Matters,1.0
402,International Polar Year,1.0
403,Operation of the Antarctic Treaty system Reports,1.0
404,Operation of the Antarctic Treaty system Reports,1.0
405,International Polar Year,1.0
406,Science issues,1.0
407,Operational issues,1.0
410,Environmental Protection General,0.5
410,Operation of the Antarctic Treaty system General,0.5
412,Site Guidelines for Visitors,0.5
412,Tourism and NG_Activities,0.5
413,Comprehensive Environmental Evaluations,1.0
414,Tourism and NG_Activities,1.0
416,Marine Protected Areas,1.0
420,Tourism and NG_Activities,1.0
421,Marine Acoustics,1.0
422,Management Plans,1.0
423,Environmental Impact Assessment EIA Other EIA Matters,1.0
424,Exchange of Information,1.0
425,International Polar Year,1.0
426,Science issues,1.0
427,Operational issues,1.0
430,Exchange of Information,1.0
432,Historic Sites and Monuments,1.0
434,Educational issues,1.0
436,Exchange of Information,1.0
438,International Polar Year,0.5
438,Science issues,0.5
439,Waste management and disposal,1.0
440,Emergency report and contingency planning,1.0
442,Operational issues,0.5
442,Safety and Operations in Antarctica,0.5
443,Educational issues,0.5
443,International Polar Year,0.5
444,Historic Sites and Monuments,1.0
445,Site Guidelines for Visitors,0.5
445,Tourism and NG_Activities,0.5
450,Comprehensive Environmental Evaluations,1.0
452,Educational issues,1.0
453,Science issues,1.0
457,Site Guidelines for Visitors,0.5
457,Tourism and NG_Activities,0.5
458,International Polar Year,1.0
459,Science issues,1.0
460,Operation of the Antarctic Treaty system Reports,1.0
462,Management Plans,1.0
463,Climate Change,1.0
464,Historic Sites and Monuments,1.0
465,Operational issues,1.0
466,Science issues,1.0
467,Environmental Monitoring and Reporting,1.0
469,Management Plans,1.0
470,Area Protection and Management Plans General,1.0
471,Operational issues,1.0
472,Site Guidelines for Visitors,0.5
472,Tourism and NG_Activities,0.5
473,Management Plans,1.0
474,Tourism and NG_Activities,1.0
477,Area Protection and Management Plans General,1.0
478,Safety and Operations in Antarctica,1.0
479,Search and Rescue,0.5
479,Tourism and NG_Activities,0.5
481,Tourism and NG_Activities,1.0
482,Tourism and NG_Activities,1.0
483,Inspections,1.0
484,Historic Sites and Monuments,1.0
487,Human Footprint and wilderness values,1.0
489,Climate Change,0.5
489,Science issues,0.5
492,Operation of the Antarctic Treaty system Reports,1.0
493,Nonnative Species and Quarantine,1.0
494,Exchange of Information,1.0
495,Emergency report and contingency planning,0.3333333333333333
495,Search and Rescue,0.3333333333333333
495,Tourism and NG_Activities,0.3333333333333333
497,Historic Sites and Monuments,1.0
499,Operation of the Antarctic Treaty system Reports,1.0
500,Exchange of Information,1.0
501,Science issues,1.0
503,Environmental Impact Assessment EIA Other EIA Matters,1.0
504,Cooperation with Other Organisations,1.0
506,Tourism and NG_Activities,1.0
507,Fauna and Flora_General,0.3333333333333333
507,Science issues,0.3333333333333333
507,Specially Protected Species,0.3333333333333333
508,Area Protection and Management Plans General,0.5
508,Management Plans,0.5
509,Educational issues,1.0
510,Operation of the Antarctic Treaty system The Secretariat,1.0
511,Area Protection and Management Plans General,1.0
512,Environmental Protection General,0.5
512,Operation of the Antarctic Treaty system General,0.5
518,Climate Change,1.0
524,Cooperation with Other Organisations,0.5
524,Operation of the Antarctic Treaty system General,0.5
526,Comprehensive Environmental Evaluations,1.0
528,Opening statements,0.5
528,Operation of the Antarctic Treaty system General,0.5
532,Operation of the Antarctic Treaty system The Secretariat,1.0
535,Operational issues,0.5
535,Waste management and disposal,0.5
536,Environmental Protection General,0.5
536,Historic Sites and Monuments,0.5
538,Exchange of Information,1.0
545,International Polar Year,1.0
547,International Polar Year,1.0
549,Operational issues,1.0
700,Exchange of Information,1.0
701,Fauna and Flora_General,0.5
701,Nonnative Species and Quarantine,0.5
702,Marine Protected Areas,1.0
706,Site Guidelines for Visitors,0.5
706,Tourism and NG_Activities,0.5
707,Site Guidelines for Visitors,0.5
707,Tourism and NG_Activities,0.5
708,Fauna and Flora_General,1.0
709,Exchange of Information,1.0
711,Science issues,1.0
712,Marine Protected Areas,1.0
714,Marine Protected Areas,1.0
716,Operation of the Antarctic Treaty system Reports,1.0
723,Operational issues,0.5
723,Safety and Operations in Antarctica,0.5
724,Operation of the Antarctic Treaty system Reports,1.0
725,Cooperation with Other Organisations,0.5
725,Marine Protected Areas,0.5
726,Management Plans,1.0
727,Management Plans,1.0
729,Operation of the CEP,1.0
730,Management Plans,1.0
731,Nonnative Species and Quarantine,1.0
732,Science issues,1.0
733,Tourism and NG_Activities,1.0
735,Cooperation with Other Organisations,1.0
737,Environmental Monitoring and Reporting,1.0
738,Emergency report and contingency planning,1.0
739,Tourism and NG_Activities,1.0
741,Historic Sites and Monuments,1.0
742,Biological Prospecting,1.0
745,Exchange of Information,1.0
746,Exchange of Information,1.0
747,Area Protection and Management Plans General,1.0
748,Environmental Protection General,1.0
749,Management Plans,1.0
750,Comprehensive Environmental Evaluations,1.0
751,Management Plans,1.0
753,Cooperation with Other Organisations,1.0
754,Management Plans,1.0
757,Management Plans,1.0
758,Management Plans,1.0
759,Environmental Domains Analysis,1.0
760,Inspections,1.0
761,Inspections,1.0
762,Exchange of Information,1.0
763,Exchange of Information,1.0
764,International Polar Year,1.0
765,Tourism and NG_Activities,1.0
766,Comprehensive Environmental Evaluations,1.0
767,Management Plans,1.0
768,Safety and Operations in Antarctica,1.0
769,International Polar Year,1.0
771,Waste management and disposal,1.0
773,Comprehensive Environmental Evaluations,1.0
774,Fauna and Flora_General,0.5
774,International Polar Year,0.5
775,Science issues,1.0
776,Science issues,1.0
777,Exchange of Information,1.0
778,Environmental Monitoring and Reporting,0.5
778,Tourism and NG_Activities,0.5
779,Cooperation with Other Organisations,0.5
779,Operation of the Antarctic Treaty system Reports,0.5
780,Operational issues,1.0
781,International Polar Year,1.0
782,Tourism and NG_Activities,1.0
783,Exchange of Information,1.0
784,Operational issues,1.0
785,Environmental Protection General,0.5
785,Waste management and disposal,0.5
786,Operational issues,1.0
787,Exchange of Information,1.0
788,Operational issues,1.0
789,Operational issues,1.0
790,Environmental Protection General,0.3333333333333333
790,Fauna and Flora_General,0.3333333333333333
790,Tourism and NG_Activities,0.3333333333333333
792,Educational issues,1.0
795,Environmental Impact Assessment EIA Other EIA Matters,1.0
796,Environmental Protection General,1.0
797,Environmental Impact Assessment EIA Other EIA Matters,0.5
797,Environmental Protection General,0.5
798,Nonnative Species and Quarantine,1.0
799,Prevention of marine pollution,1.0
801,Nonnative Species and Quarantine,1.0
802,Climate Change,1.0
803,Environmental Protection General,1.0
804,Exchange of Information,1.0
805,Science issues,1.0
806,Exchange of Information,1.0
807,Prevention of marine pollution,1.0
808,Educational issues,1.0
809,Educational issues,0.5
809,Science issues,0.5
810,Operation of the Antarctic Treaty system Reports,1.0
811,Management Plans,1.0
812,Educational issues,1.0
813,Nonnative Species and Quarantine,1.0
814,Cooperation with Other Organisations,1.0
815,Cooperation with Other Organisations,0.5
815,Marine Protected Areas,0.5
816,Waste management and disposal,1.0
819,Marine Acoustics,1.0
820,Climate Change,1.0
821,Environmental Impact Assessment EIA Other EIA Matters,0.5
821,Tourism and NG_Activities,0.5
822,International Polar Year,1.0
823,Site Guidelines for Visitors,0.5
823,Tourism and NG_Activities,0.5
824,Site Guidelines for Visitors,0.5
824,Tourism and NG_Activities,0.5
825,Cooperation with Other Organisations,1.0
826,Drilling,0.5
826,Sub glacial Lakes,0.5
827,Drilling,0.5
827,Sub glacial Lakes,0.5
828,Educational issues,1.0
829,Safety and Operations in Antarctica,1.0
830,Environmental Monitoring and Reporting,0.5
830,Safety and Operations in Antarctica,0.5
831,Science issues,1.0
832,International Polar Year,1.0
835,Exchange of Information,1.0
836,Climate Change,1.0
837,Environmental Monitoring and Reporting,0.5
837,Waste management and disposal,0.5
839,Management Plans,1.0
841,Operation of the Antarctic Treaty system Reports,0.5
841,Science issues,0.5
842,Environmental Impact Assessment EIA Other EIA Matters,1.0
844,Environmental Impact Assessment EIA Other EIA Matters,1.0
845,Nonnative Species and Quarantine,0.5
845,Prevention of marine pollution,0.5
846,Nonnative Species and Quarantine,0.5
846,Prevention of marine pollution,0.5
847,Marine Acoustics,1.0
848,Fauna and Flora_General,1.0
849,Tourism and NG_Activities,1.0
851,Tourism and NG_Activities,1.0
852,Operation of the Antarctic Treaty system Reports,1.0
853,International Polar Year,1.0
854,Environmental Impact Assessment EIA Other EIA Matters,0.5
854,Fauna and Flora_General,0.5
855,Climate Change,0.5
855,Environmental Impact Assessment EIA Other EIA Matters,0.5
856,Specially Protected Species,1.0
857,Tourism and NG_Activities,1.0
861,Emergency report and contingency planning,0.3333333333333333
861,Search and Rescue,0.3333333333333333
861,Tourism and NG_Activities,0.3333333333333333
862,Specially Protected Species,1.0
863,Historic Sites and Monuments,1.0
864,Fauna and Flora_General,0.5
864,International Polar Year,0.5
866,Environmental Protection General,1.0
867,Site Guidelines for Visitors,0.5
867,Tourism and NG_Activities,0.5
872,Marine Acoustics,1.0
873,Tourism and NG_Activities,1.0
874,Science issues,1.0
875,Educational issues,1.0
880,Marine Acoustics,1.0
881,Environmental Protection General,1.0
882,Exchange of Information,1.0
883,Educational issues,0.5
883,Safety and Operations in Antarctica,0.5
884,International Polar Year,1.0
885,Operational issues,1.0
887,Exchange of Information,1.0
888,Operation of the Antarctic Treaty system General,0.5
888,Operation of the Antarctic Treaty system Reports,0.5
889,Operation of the Antarctic Treaty system Reports,1.0
890,Fauna and Flora_General,1.0
891,Educational issues,1.0
892,Educational issues,1.0
893,Operational issues,1.0
894,Biological Prospecting,1.0
895,CEP Strategy Discussions,1.0
896,CEP Strategy Discussions,1.0
898,Cooperation with Other Organisations,0.5
898,Operation of the Antarctic Treaty system Reports,0.5
899,Management Plans,1.0
900,Area Protection and Management Plans General,1.0
901,Operation of the Antarctic Treaty system General,1.0
903,Waste management and disposal,1.0
904,Management Plans,1.0
906,Biological Prospecting,1.0
908,Environmental Impact Assessment EIA Other EIA Matters,1.0
909,Historic Sites and Monuments,1.0
911,Operation of the Antarctic Treaty system Reports,1.0
912,Tourism and NG_Activities,1.0
913,Nonnative Species and Quarantine,0.5
913,Prevention of marine pollution,0.5
917,Operation of the Antarctic Treaty system Reports,1.0
920,Management Plans,1.0
921,Biological Prospecting,1.0
925,Environmental Protection General,0.5
925,Operation of the Antarctic Treaty system General,0.5
936,CEP Strategy Discussions,1.0
958,Operation of the Antarctic Treaty system General,1.0
960,Site Guidelines for Visitors,0.5
960,Tourism and NG_Activities,0.5
963,Management Plans,1.0
964,Biological Prospecting,1.0
965,Environmental Impact Assessment EIA Other EIA Matters,1.0
968,Marine Protected Areas,1.0
969,Marine Protected Areas,1.0
970,Comprehensive Environmental Evaluations,1.0
971,Comprehensive Environmental Evaluations,1.0
972,Environmental Protection General,0.5
972,Tourism and NG_Activities,0.5
973,Management Plans,1.0
974,Operation of the Antarctic Treaty system Reports,1.0
975,Management Plans,1.0
976,Management Plans,1.0
978,CEP Strategy Discussions,1.0
983,Biological Prospecting,1.0
984,Environmental Impact Assessment EIA Other EIA Matters,0.5
984,Fauna and Flora_General,0.5
985,Management Plans,1.0
986,Management Plans,1.0
988,Comprehensive Environmental Evaluations,1.0
989,Nonnative Species and Quarantine,1.0
990,CEP Strategy Discussions,1.0
991,Environmental Protection General,0.5
991,Operation of the Antarctic Treaty system General,0.5
992,CEP Strategy Discussions,0.5
992,Management Plans,0.5
993,Environmental Monitoring and Reporting,0.5
993,Nonnative Species and Quarantine,0.5
994,Search and Rescue,0.5
994,Tourism and NG_Activities,0.5
995,Tourism and NG_Activities,1.0
996,Tourism and NG_Activities,1.0
997,Cooperation with Other Organisations,1.0
998,State of the Antarctic Environment Report SAER,1.0
1000,Area Protection and Management Plans General,0.5
1000,Inspections,0.5
1001,Environmental Domains Analysis,1.0
1002,Cooperation with Other Organisations,1.0
1005,Management Plans,1.0
1006,Management Plans,1.0
1007,Environmental Protection General,0.5
1007,Safety and Operations in Antarctica,0.5
1008,Environmental Impact Assessment EIA Other EIA Matters,0.5
1008,Tourism and NG_Activities,0.5
1009,Climate Change,1.0
1010,Search and Rescue,0.5
1010,Tourism and NG_Activities,0.5
1013,Environmental Protection General,0.5
1013,Safety and Operations in Antarctica,0.5
1014,Management Plans,1.0
1017,Safety and Operations in Antarctica,0.5
1017,Search and Rescue,0.5
1018,Safety and Operations in Antarctica,1.0
1019,Safety and Operations in Antarctica,1.0
1020,Science issues,1.0
1021,Prevention of marine pollution,0.3333333333333333
1021,Safety and Operations in Antarctica,0.3333333333333333
1021,Search and Rescue,0.3333333333333333
1022,Historic Sites and Monuments,1.0
1023,Tourism and NG_Activities,1.0
1024,Site Guidelines for Visitors,0.5
1024,Tourism and NG_Activities,0.5
1026,CEP Strategy Discussions,1.0
1027,Site Guidelines for Visitors,0.5
1027,Tourism and NG_Activities,0.5
1029,Management Plans,1.0
1030,Exchange of Information,1.0
1031,Exchange of Information,1.0
1032,Operation of the Antarctic Treaty system General,1.0
1033,Environmental Monitoring and Reporting,0.5
1033,Tourism and NG_Activities,0.5
1034,Operation of the Antarctic Treaty system General,1.0
1035,Tourism and NG_Activities,1.0
1036,Tourism and NG_Activities,1.0
1037,Management Plans,1.0
1038,Comprehensive Environmental Evaluations,1.0
1039,Nonnative Species and Quarantine,1.0
1040,Environmental Protection General,0.5
1040,Operation of the Antarctic Treaty system General,0.5
1041,Search and Rescue,0.5
1041,Tourism and NG_Activities,0.5
1043,Management Plans,1.0
1044,Educational issues,1.0
1045,Fauna and Flora_General,1.0
1046,Exchange of Information,1.0
1047,Inspections,1.0
1048,Environmental Monitoring and Reporting,0.5
1048,Fauna and Flora_General,0.5
1049,Climate Change,1.0
1050,Exchange of Information,1.0
1051,Exchange of Information,1.0
1052,Inspections,1.0
1053,Environmental Domains Analysis,1.0
1055,Environmental Impact Assessment EIA Other EIA Matters,1.0
1056,Operation of the Antarctic Treaty system Reports,1.0
1057,Operation of the Antarctic Treaty system Reports,1.0
1058,Science issues,1.0
1059,Site Guidelines for Visitors,0.5
1059,Tourism and NG_Activities,0.5
1060,CEP Strategy Discussions,0.3333333333333333
1060,Management Plans,0.3333333333333333
1060,Operation of the CEP,0.3333333333333333
1061,Management Plans,1.0
1062,Area Protection and Management Plans General,1.0
1063,Operation of the Antarctic Treaty system General,1.0
1064,Safety and Operations in Antarctica,1.0
1065,Nonnative Species and Quarantine,1.0
1066,Exchange of Information,1.0
1068,Exchange of Information,1.0
1069,Site Guidelines for Visitors,0.5
1069,Tourism and NG_Activities,0.5
1070,Science issues,1.0
1071,Operational issues,1.0
1072,Educational issues,1.0
1073,Science issues,1.0
1074,Environmental Impact Assessment EIA Other EIA Matters,0.3333333333333333
1074,Search and Rescue,0.3333333333333333
1074,Tourism and NG_Activities,0.3333333333333333
1075,Exchange of Information,1.0
1076,Operation of the Antarctic Treaty system General,1.0
1077,Sub glacial Lakes,1.0
1078,Environmental Impact Assessment EIA Other EIA Matters,1.0
1079,International Polar Year,1.0
1080,Climate Change,0.5
1080,Science issues,0.5
1081,Science issues,1.0
1082,Environmental Impact Assessment EIA Other EIA Matters,1.0
1083,Climate Change,1.0
1084,Climate Change,1.0
1085,Search and Rescue,0.5
1085,Tourism and NG_Activities,0.5
1086,Operational issues,1.0
1087,Drilling,1.0
1088,Exchange of Information,1.0
1089,Environmental Impact Assessment EIA Other EIA Matters,1.0
1090,Climate Change,1.0
1091,Area Protection and Management Plans General,1.0
1092,Prevention of marine pollution,0.5
1092,Tourism and NG_Activities,0.5
1093,International Polar Year,1.0
1094,Science issues,1.0
1097,Climate Change,1.0
1099,Area Protection and Management Plans General,1.0
1102,Science issues,1.0
1103,Exchange of Information,1.0
1104,Science issues,1.0
1107,Exchange of Information,1.0
1110,Science issues,1.0
1111,Science issues,1.0
1112,Operation of the Antarctic Treaty system Reports,0.5
1112,Science issues,0.5
1113,Historic Sites and Monuments,1.0
1114,Environmental Monitoring and Reporting,1.0
1116,Nonnative Species and Quarantine,1.0
1117,Science issues,1.0
1118,Comprehensive Environmental Evaluations,1.0
1119,Science issues,1.0
1123,Operation of the Antarctic Treaty system Reports,1.0
1124,Waste management and disposal,1.0
1126,Operational issues,1.0
1128,Search and Rescue,0.5
1128,Tourism and NG_Activities,0.5
1129,Site Guidelines for Visitors,0.5
1129,Tourism and NG_Activities,0.5
1130,Tourism and NG_Activities,1.0
1131,Tourism and NG_Activities,1.0
1132,Tourism and NG_Activities,1.0
1133,Tourism and NG_Activities,1.0
1134,Operational issues,1.0
1135,International Polar Year,1.0
1136,Operation of the Antarctic Treaty system Reports,1.0
1137,Exchange of Information,1.0
1138,Emergency report and contingency planning,1.0
1139,Operational issues,0.5
1139,Science issues,0.5
1140,Nonnative Species and Quarantine,1.0
1141,Area Protection and Management Plans General,0.5
1141,Historic Sites and Monuments,0.5
1143,Science issues,1.0
1144,Exchange of Information,1.0
1145,Environmental Monitoring and Reporting,0.5
1145,Prevention of marine pollution,0.5
1146,Nonnative Species and Quarantine,1.0
1147,Safety and Operations in Antarctica,0.5
1147,Search and Rescue,0.5
1148,International Polar Year,0.5
1148,Science issues,0.5
1149,Science issues,1.0
1151,Historic Sites and Monuments,1.0
1152,Management Plans,1.0
1153,Safety and Operations in Antarctica,0.5
1153,Search and Rescue,0.5
1154,Management Plans,1.0
1155,Management Plans,1.0
1156,Drilling,0.5
1156,Environmental Impact Assessment EIA Other EIA Matters,0.5
1157,Environmental Impact Assessment EIA Other EIA Matters,1.0
1159,International Polar Year,1.0
1160,Climate Change,0.5
1160,Science issues,0.5
1161,Environmental Impact Assessment EIA Other EIA Matters,1.0
1162,Operational issues,1.0
1163,Fauna and Flora_General,1.0
1165,Safety and Operations in Antarctica,1.0
1167,Specially Protected Species,1.0
1168,Management Plans,0.5
1168,Tourism and NG_Activities,0.5
1169,Area Protection and Management Plans General,0.3333333333333333
1169,Nonnative Species and Quarantine,0.3333333333333333
1169,Sub glacial Lakes,0.3333333333333333
1170,International Polar Year,0.5
1170,Science issues,0.5
1171,Operation of the Antarctic Treaty system General,1.0
1172,Operational issues,1.0
1173,Educational issues,0.5
1173,International Polar Year,0.5
1174,Safety and Operations in Antarctica,0.5
1174,Search and Rescue,0.5
1175,Safety and Operations in Antarctica,1.0
1176,Educational issues,1.0
1177,Management Plans,1.0
1178,Environmental Monitoring and Reporting,1.0
1179,Marine Protected Areas,1.0
1180,Operation of the Antarctic Treaty system Reports,1.0
1181,Safety and Operations in Antarctica,0.5
1181,Search and Rescue,0.5
1182,Environmental Monitoring and Reporting,1.0
1183,Educational issues,1.0
1184,Environmental Impact Assessment EIA Other EIA Matters,0.5
1184,Waste management and disposal,0.5
1188,Fauna and Flora_General,0.5
1188,International Polar Year,0.5
1189,Management Plans,1.0
1192,Management Plans,1.0
1199,Operation of the Antarctic Treaty system Reports,1.0
1201,Management Plans,1.0
1204,Cooperation with Other Organisations,1.0
1208,Specially Protected Species,1.0
1213,Cooperation with Other Organisations,0.5
1213,Operation of the Antarctic Treaty system Reports,0.5
1223,Operation of the Antarctic Treaty system The Secretariat,1.0
1225,International Polar Year,1.0
1229,Management Plans,1.0
1230,Operation of the Antarctic Treaty system Reports,1.0
1234,Operation of the Antarctic Treaty system The Secretariat,1.0
1237,Area Protection and Management Plans General,0.5
1237,Management Plans,0.5
1238,Site Guidelines for Visitors,0.5
1238,Tourism and NG_Activities,0.5
1239,Site Guidelines for Visitors,0.5
1239,Tourism and NG_Activities,0.5
1243,Safety and Operations in Antarctica,0.5
1243,Search and Rescue,0.5
1257,Safety and Operations in Antarctica,0.5
1257,Search and Rescue,0.5
1258,Educational issues,1.0
1262,Science issues,1.0
1263,Science issues,1.0
1323,Nonnative Species and Quarantine,1.0
1324,Nonnative Species and Quarantine,1.0
1325,Nonnative Species and Quarantine,0.5
1325,Tourism and NG_Activities,0.5
1326,Nonnative Species and Quarantine,0.5
1326,Prevention of marine pollution,0.5
1327,Nonnative Species and Quarantine,1.0
1328,Nonnative Species and Quarantine,1.0
1330,Nonnative Species and Quarantine,1.0
1331,Nonnative Species and Quarantine,1.0
1333,Fauna and Flora_General,0.5
1333,Nonnative Species and Quarantine,0.5
1334,Area Protection and Management Plans General,1.0
1335,Operation of the Antarctic Treaty system Reports,1.0
1336,Environmental Protection General,1.0
1337,Fauna and Flora_General,1.0
1338,Science issues,1.0
1339,Operational issues,0.5
1339,Science issues,0.5
1340,Prevention of marine pollution,0.5
1340,Waste management and disposal,0.5
1341,Science issues,1.0
1342,Science issues,1.0
1343,Operation of the Antarctic Treaty system Reports,1.0
1344,Environmental Protection General,1.0
1345,Environmental Impact Assessment EIA Other EIA Matters,1.0
1346,Environmental Impact Assessment EIA Other EIA Matters,1.0
1347,Exchange of Information,1.0
1348,Waste management and disposal,1.0
1349,Environmental Impact Assessment EIA Other EIA Matters,1.0
1350,Inspections,1.0
1353,Inspections,1.0
1354,Inspections,1.0
1355,Inspections,1.0
1356,Inspections,1.0
1357,Inspections,1.0
1358,Environmental Monitoring and Reporting,1.0
1359,Waste management and disposal,1.0
1360,Management Plans,1.0
1361,Environmental Protection General,0.5
1361,Operation of the Antarctic Treaty system General,0.5
1362,Operational issues,0.5
1362,Science issues,0.5
1363,State of the Antarctic Environment Report SAER,1.0
1364,Historic Sites and Monuments,1.0
1365,Prevention of marine pollution,0.5
1365,Waste management and disposal,0.5
1368,Prevention of marine pollution,1.0
1369,State of the Antarctic Environment Report SAER,1.0
1370,Science issues,1.0
1371,Opening statements,1.0
1372,Area Protection and Management Plans General,0.5
1372,Marine Protected Areas,0.5
1373,Comprehensive Environmental Evaluations,1.0
1374,Emergency report and contingency planning,0.5
1374,Prevention of marine pollution,0.5
1375,Environmental Impact Assessment EIA Other EIA Matters,1.0
1376,Environmental Monitoring and Reporting,1.0
1377,Drilling,0.5
1377,Environmental Impact Assessment EIA Other EIA Matters,0.5
1378,Exchange of Information,1.0
1379,Operation of the Antarctic Treaty system Reports,1.0
1380,Operation of the Antarctic Treaty system Reports,1.0
1381,Operation of the Antarctic Treaty system Reports,1.0
1382,Operational issues,1.0
1383,Science issues,1.0
1384,Operation of the Antarctic Treaty system General,1.0
1385,Operation of the Antarctic Treaty system Reports,1.0
1386,Tourism and NG_Activities,1.0
1387,Educational issues,0.5
1387,Tourism and NG_Activities,0.5
1388,Tourism and NG_Activities,1.0
1389,Science issues,1.0
1390,Opening statements,1.0
1391,Opening statements,1.0
1392,Safety and Operations in Antarctica,1.0
1393,Opening statements,1.0
1394,Operation of the Antarctic Treaty system General,1.0
1395,Operation of the Antarctic Treaty system General,1.0
1396,Nonnative Species and Quarantine,1.0
1399,Emergency report and contingency planning,1.0
1400,Area Protection and Management Plans General,1.0
1401,Operation of the Antarctic Treaty system Reports,1.0
1402,Area Protection and Management Plans General,0.5
1402,Management Plans,0.5
1403,Educational issues,1.0
1404,Environmental Protection General,0.5
1404,Operation of the Antarctic Treaty system General,0.5
1405,Operation of the Antarctic Treaty system The Secretariat,1.0
1406,Historic Sites and Monuments,1.0
1407,State of the Antarctic Environment Report SAER,1.0
1408,Emergency report and contingency planning,1.0
1409,Environmental Impact Assessment EIA Other EIA Matters,1.0
1410,Liability,1.0
1411,Emergency report and contingency planning,1.0
1412,Environmental Impact Assessment EIA Other EIA Matters,1.0
1413,Operation of the CEP,1.0
1414,Historic Sites and Monuments,1.0
1415,Environmental Protection General,0.5
1415,Operation of the Antarctic Treaty system General,0.5
1416,Operation of the CEP,1.0
1417,CEP Strategy Discussions,0.5
1417,Operation of the CEP,0.5
1418,Exchange of Information,1.0
1419,Area Protection and Management Plans General,1.0
1420,Area Protection and Management Plans General,1.0
1421,Exchange of Information,1.0
1422,State of the Antarctic Environment Report SAER,1.0
1426,Drilling,1.0
1427,Operation of the Antarctic Treaty system General,1.0
1428,Operation of the Antarctic Treaty system General,1.0
1429,Exchange of Information,1.0
1431,Environmental Protection General,1.0
1432,Exchange of Information,1.0
